Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,18647
1,1,0,0,18647
2,2,0,0,18647
3,3,0,0,18647
4,4,0,0,7033
5,5,0,0,7033
6,6,0,0,7033
7,7,0,0,7033
8,8,0,0,7033
9,9,0,0,25680
10,10,0,0,25680
11,11,0,0,25680
12,12,0,0,25680
13,13,0,0,25680
14,14,0,0,32713
15,15,0,0,32713
16,16,0,0,32713
17,17,0,0,32713
18,18,0,0,32713
19,19,0,0,58393
20,20,0,0,58393
21,21,0,0,58393
22,22,0,0,58393
23,23,0,0,58393
24,24,0,0,25570
25,25,0,0,25570
26,26,0,0,25570
27,27,0,0,25570
28,28,0,0,25570
29,29,0,0,18427
30,30,0,0,18427
31,31,0,0,18427
32,32,0,0,18427
33,33,0,0,18427
34,34,0,0,43997
35,35,0,0,43997
36,36,0,0,43997
37,37,0,0,43997
38,38,0,0,43997
39,39,0,0,62424
40,40,0,0,62424
41,41,0,0,62424
42,42,0,0,62424
43,43,0,0,62424
44,44,0,0,40885
45,45,0,0,40885
46,46,0,0,40885
47,47,0,0,40885
48,48,0,0,40885
49,49,0,0,37773
50,50,0,0,37773
51,51,0,0,37773
52,52,0,0,37773
53,53,0,0,37773
54,54,0,0,13122
55,55,0,0,13122
56,56,0,0,13122
57,57,0,0,13122
58,58,0,0,13122
59,59,0,0,50895
60,60,0,0,50895
61,61,0,0,50895
62,62,0,0,50895
63,63,0,0,50895
64,64,0,0,64017
65,65,0,0,64017
66,66,0,0,64017
67,67,0,0,64017
68,68,0,0,64017
69,69,0,0,49376
70,70,0,0,49376
71,71,0,0,49376
72,72,0,0,49376
73,73,0,0,49376
74,74,0,0,47857
75,75,0,0,47857
76,76,0,0,47857
77,77,0,0,47857
78,78,0,0,47857
79,79,0,0,31697
80,80,0,0,31697
81,81,0,0,31697
82,82,0,0,31697
83,83,0,0,31697
84,84,0,0,14018
85,85,0,0,14018
86,86,0,0,14018
87,87,0,0,14018
88,88,0,0,14018
89,89,0,0,45715
90,90,0,0,45715
91,91,0,0,45715
92,92,0,0,45715
93,93,0,0,45715
94,94,0,0,59733
95,95,0,0,59733
96,96,0,0,59733
97,97,0,0,59733
98,98,0,0,59733
99,99,0,0,39912
100,100,0,0,39912
101,101,0,0,39912
102,102,0,0,39912
103,103,0,0,39912
104,104,0,0,34109
105,105,0,0,34109
106,106,0,0,34109
107,107,0,0,34109
108,108,0,0,34109
109,109,0,0,8485
110,110,0,0,8485
111,111,0,0,8485
112,112,0,0,8485
113,113,0,0,8485
114,114,0,0,42594
115,115,0,0,42594
116,116,0,0,42594
117,117,0,0,42594
118,118,0,0,42594
119,119,0,0,51079
120,120,0,0,51079
121,121,0,0,51079
122,122,0,0,51079
123,123,0,0,51079
124,124,0,0,28137
125,125,0,0,28137
126,126,0,0,28137
127,127,0,0,28137
128,128,0,0,28137
129,129,0,0,13680
130,130,0,0,13680
131,131,0,0,13680
132,132,0,0,13680
133,133,0,0,13680
134,134,0,0,41817
135,135,0,0,41817
136,136,0,0,41817
137,137,0,0,41817
138,138,0,0,41817
139,139,0,0,55497
140,140,0,0,55497
141,141,0,0,55497
142,142,0,0,55497
143,143,0,0,55497
144,144,0,0,31778
145,145,0,0,31778
146,146,0,0,31778
147,147,0,0,31778
148,148,0,0,31778
149,149,0,0,21739
150,150,0,0,21739
151,151,0,0,21739
152,152,0,0,21739
153,153,0,0,21739
154,154,0,0,53517
155,155,0,0,53517
156,156,0,0,53517
157,157,0,0,53517
158,158,0,0,53517
159,159,0,0,9720
160,160,0,0,9720
161,161,0,0,9720
162,162,0,0,9720
163,163,0,0,9720
164,164,0,0,63237
165,165,0,0,63237
166,166,0,0,63237
167,167,0,0,63237
168,168,0,0,63237
169,169,0,0,7421
170,170,0,0,7421
171,171,0,0,7421
172,172,0,0,7421
173,173,0,0,7421
174,174,0,0,5122
175,175,0,0,5122
176,176,0,0,5122
177,177,0,0,5122
178,178,0,0,5122
179,179,0,0,12543
180,180,0,0,12543
181,181,0,0,12543
182,182,0,0,12543
183,183,0,0,12543
184,184,0,0,17665
185,185,0,0,17665
186,186,0,0,17665
187,187,0,0,17665
188,188,0,0,17665
189,189,0,0,30208
190,190,0,0,30208
191,191,0,0,30208
192,192,0,0,30208
193,193,0,0,30208
194,194,0,0,47873
195,195,0,0,47873
196,196,0,0,47873
197,197,0,0,47873
198,198,0,0,47873
199,199,0,0,12545
200,200,0,0,12545
201,201,0,0,12545
202,202,0,0,12545
203,203,0,0,12545
204,204,0,0,60418
205,205,0,0,60418
206,206,0,0,60418
207,207,0,0,60418
208,208,0,0,60418
209,209,0,0,7427
210,210,0,0,7427
211,211,0,0,7427
212,212,0,0,7427
213,213,0,0,7427
214,214,0,0,2309
215,215,0,0,2309
216,216,0,0,2309
217,217,0,0,2309
218,218,0,0,2309
219,219,0,0,9736
220,220,0,0,9736
221,221,0,0,9736
222,222,0,0,9736
223,223,0,0,9736
224,224,0,0,12045
225,225,0,0,12045
226,226,0,0,12045
227,227,0,0,12045
228,228,0,0,12045
229,229,0,0,21781
230,230,0,0,21781
231,231,0,0,21781
232,232,0,0,21781
233,233,0,0,21781
234,234,0,0,33826
235,235,0,0,33826
236,236,0,0,33826
237,237,0,0,33826
238,238,0,0,33826
239,239,0,0,55607
240,240,0,0,55607
241,241,0,0,55607
242,242,0,0,55607
243,243,0,0,55607
244,244,0,0,23897
245,245,0,0,23897
246,246,0,0,23897
247,247,0,0,23897
248,248,0,0,23897
249,249,0,0,13968
250,250,0,0,13968
251,251,0,0,13968
252,252,0,0,13968
253,253,0,0,13968
254,254,0,0,37865
255,255,0,0,37865
256,256,0,0,37865
257,257,0,0,37865
258,258,0,0,37865
259,259,0,0,51833
260,260,0,0,51833
261,261,0,0,51833
262,262,0,0,51833
263,263,0,0,51833
264,264,0,0,24162
265,265,0,0,24162
266,266,0,0,24162
267,267,0,0,24162
268,268,0,0,24162
269,269,0,0,10459
270,270,0,0,10459
271,271,0,0,10459
272,272,0,0,10459
273,273,0,0,10459
274,274,0,0,34621
275,275,0,0,34621
276,276,0,0,34621
277,277,0,0,34621
278,278,0,0,34621
279,279,0,0,45080
280,280,0,0,45080
281,281,0,0,45080
282,282,0,0,45080
283,283,0,0,45080
284,284,0,0,14165
285,285,0,0,14165
286,286,0,0,14165
287,287,0,0,14165
288,288,0,0,14165
289,289,0,0,59245
290,290,0,0,59245
291,291,0,0,59245
292,292,0,0,59245
293,293,0,0,59245
294,294,0,0,7874
295,295,0,0,7874
296,296,0,0,7874
297,297,0,0,7874
298,298,0,0,7874
299,299,0,0,1583
300,300,0,0,1583
301,301,0,0,1583
302,302,0,0,1583
303,303,0,0,1583
304,304,0,0,9457
305,305,0,0,9457
306,306,0,0,9457
307,307,0,0,9457
308,308,0,0,9457
309,309,0,0,11040
310,310,0,0,11040
311,311,0,0,11040
312,312,0,0,11040
313,313,0,0,11040
314,314,0,0,20497
315,315,0,0,20497
316,316,0,0,20497
317,317,0,0,20497
318,318,0,0,20497
319,319,0,0,31537
320,320,0,0,31537
321,321,0,0,31537
322,322,0,0,31537
323,323,0,0,31537
324,324,0,0,52034
325,325,0,0,52034
326,326,0,0,52034
327,327,0,0,52034
328,328,0,0,52034
329,329,0,0,18035
330,330,0,0,18035
331,331,0,0,18035
332,332,0,0,18035
333,333,0,0,18035
334,334,0,0,4533
335,335,0,0,4533
336,336,0,0,4533
337,337,0,0,4533
338,338,0,0,4533
339,339,0,0,22568
340,340,0,0,22568
341,341,0,0,22568
342,342,0,0,22568
343,343,0,0,22568
344,344,0,0,27101
345,345,0,0,27101
346,346,0,0,27101
347,347,0,0,27101
348,348,0,0,27101
349,349,0,0,49669
350,350,0,0,49669
351,351,0,0,49669
352,352,0,0,49669
353,353,0,0,49669
354,354,0,0,11234
355,355,0,0,11234
356,356,0,0,11234
357,357,0,0,11234
358,358,0,0,11234
359,359,0,0,60903
360,360,0,0,60903
361,361,0,0,60903
362,362,0,0,60903
363,363,0,0,60903
364,364,0,0,6601
365,365,0,0,6601
366,366,0,0,6601
367,367,0,0,6601
368,368,0,0,6601
369,369,0,0,1968
370,370,0,0,1968
371,371,0,0,1968
372,372,0,0,1968
373,373,0,0,1968
374,374,0,0,8569
375,375,0,0,8569
376,376,0,0,8569
377,377,0,0,8569
378,378,0,0,8569
379,379,0,0,10537
380,380,0,0,10537
381,381,0,0,10537
382,382,0,0,10537
383,383,0,0,10537
384,384,0,0,19106
385,385,0,0,19106
386,386,0,0,19106
387,387,0,0,19106
388,388,0,0,19106
389,389,0,0,29643
390,390,0,0,29643
391,391,0,0,29643
392,392,0,0,29643
393,393,0,0,29643
394,394,0,0,48749
395,395,0,0,48749
396,396,0,0,48749
397,397,0,0,48749
398,398,0,0,48749
399,399,0,0,12856
400,400,0,0,12856
401,401,0,0,12856
402,402,0,0,12856
403,403,0,0,12856
404,404,0,0,61605
405,405,0,0,61605
406,406,0,0,61605
407,407,0,0,61605
408,408,0,0,61605
409,409,0,0,8925
410,410,0,0,8925
411,411,0,0,8925
412,412,0,0,8925
413,413,0,0,8925
414,414,0,0,4994
415,415,0,0,4994
416,416,0,0,4994
417,417,0,0,4994
418,418,0,0,4994
419,419,0,0,13919
420,420,0,0,13919
421,421,0,0,13919
422,422,0,0,13919
423,423,0,0,13919
424,424,0,0,18913
425,425,0,0,18913
426,426,0,0,18913
427,427,0,0,18913
428,428,0,0,18913
429,429,0,0,32832
430,430,0,0,32832
431,431,0,0,32832
432,432,0,0,32832
433,433,0,0,32832
434,434,0,0,51745
435,435,0,0,51745
436,436,0,0,51745
437,437,0,0,51745
438,438,0,0,51745
439,439,0,0,19041
440,440,0,0,19041
441,441,0,0,19041
442,442,0,0,19041
443,443,0,0,19041
444,444,0,0,5250
445,445,0,0,5250
446,446,0,0,5250
447,447,0,0,5250
448,448,0,0,5250
449,449,0,0,24291
450,450,0,0,24291
451,451,0,0,24291
452,452,0,0,24291
453,453,0,0,24291
454,454,0,0,29541
455,455,0,0,29541
456,456,0,0,29541
457,457,0,0,29541
458,458,0,0,29541
459,459,0,0,53832
460,460,0,0,53832
461,461,0,0,53832
462,462,0,0,53832
463,463,0,0,53832
464,464,0,0,17837
465,465,0,0,17837
466,466,0,0,17837
467,467,0,0,17837
468,468,0,0,17837
469,469,0,0,6133
470,470,0,0,6133
471,471,0,0,6133
472,472,0,0,6133
473,473,0,0,6133
474,474,0,0,23970
475,475,0,0,23970
476,476,0,0,23970
477,477,0,0,23970
478,478,0,0,23970
479,479,0,0,30103
480,480,0,0,30103
481,481,0,0,30103
482,482,0,0,30103
483,483,0,0,30103
484,484,0,0,54073
485,485,0,0,54073
486,486,0,0,54073
487,487,0,0,54073
488,488,0,0,54073
489,489,0,0,18640
490,490,0,0,18640
491,491,0,0,18640
492,492,0,0,18640
493,493,0,0,18640
494,494,0,0,7177
495,495,0,0,7177
496,496,0,0,7177
497,497,0,0,7177
498,498,0,0,7177
499,499,0,0,25817
500,500,0,0,25817
501,501,0,0,25817
502,502,0,0,25817
503,503,0,0,25817
504,504,0,0,32994
505,505,0,0,32994
506,506,0,0,32994
507,507,0,0,32994
508,508,0,0,32994
509,509,0,0,58811
510,510,0,0,58811
511,511,0,0,58811
512,512,0,0,58811
513,513,0,0,58811
514,514,0,0,26269
515,515,0,0,26269
516,516,0,0,26269
517,517,0,0,26269
518,518,0,0,26269
519,519,0,0,19544
520,520,0,0,19544
521,521,0,0,19544
522,522,0,0,19544
523,523,0,0,19544
524,524,0,0,45813
525,525,0,0,45813
526,526,0,0,45813
527,527,0,0,45813
528,528,0,0,45813
529,529,0,0,65357
530,530,0,0,65357
531,531,0,0,65357
532,532,0,0,65357
533,533,0,0,65357
534,534,0,0,45634
535,535,0,0,45634
536,536,0,0,45634
537,537,0,0,45634
538,538,0,0,45634
539,539,0,0,45455
540,540,0,0,45455
541,541,0,0,45455
542,542,0,0,45455
543,543,0,0,45455
544,544,0,0,25553
545,545,0,0,25553
546,546,0,0,25553
547,547,0,0,25553
548,548,0,0,25553
549,549,0,0,5472
550,550,0,0,5472
551,551,0,0,5472
552,552,0,0,5472
553,553,0,0,5472
554,554,0,0,31025
555,555,0,0,31025
556,556,0,0,31025
557,557,0,0,31025
558,558,0,0,31025
559,559,0,0,36497
560,560,0,0,36497
561,561,0,0,36497
562,562,0,0,36497
563,563,0,0,36497
564,564,0,0,1986
565,565,0,0,1986
566,566,0,0,1986
567,567,0,0,1986
568,568,0,0,1986
569,569,0,0,38483
570,570,0,0,38483
571,571,0,0,38483
572,572,0,0,38483
573,573,0,0,38483
574,574,0,0,40469
575,575,0,0,40469
576,576,0,0,40469
577,577,0,0,40469
578,578,0,0,40469
579,579,0,0,13416
580,580,0,0,13416
581,581,0,0,13416
582,582,0,0,13416
583,583,0,0,13416
584,584,0,0,53885
585,585,0,0,53885
586,586,0,0,53885
587,587,0,0,53885
588,588,0,0,53885
589,589,0,0,1765
590,590,0,0,1765
591,591,0,0,1765
592,592,0,0,1765
593,593,0,0,1765
594,594,0,0,55650
595,595,0,0,55650
596,596,0,0,55650
597,597,0,0,55650
598,598,0,0,55650
599,599,0,0,57415
600,600,0,0,57415
601,601,0,0,57415
602,602,0,0,57415
603,603,0,0,57415
604,604,0,0,47529
605,605,0,0,47529
606,606,0,0,47529
607,607,0,0,47529
608,608,0,0,47529
609,609,0,0,39408
610,610,0,0,39408
611,611,0,0,39408
612,612,0,0,39408
613,613,0,0,39408
614,614,0,0,21401
615,615,0,0,21401
616,616,0,0,21401
617,617,0,0,21401
618,618,0,0,21401
619,619,0,0,60809
620,620,0,0,60809
621,621,0,0,60809
622,622,0,0,60809
623,623,0,0,60809
624,624,0,0,16674
625,625,0,0,16674
626,626,0,0,16674
627,627,0,0,16674
628,628,0,0,16674
629,629,0,0,11947
630,630,0,0,11947
631,631,0,0,11947
632,632,0,0,11947
633,633,0,0,11947
634,634,0,0,28621
635,635,0,0,28621
636,636,0,0,28621
637,637,0,0,28621
638,638,0,0,28621
639,639,0,0,40568
640,640,0,0,40568
641,641,0,0,40568
642,642,0,0,40568
643,643,0,0,40568
644,644,0,0,3653
645,645,0,0,3653
646,646,0,0,3653
647,647,0,0,3653
648,648,0,0,3653
649,649,0,0,44221
650,650,0,0,44221
651,651,0,0,44221
652,652,0,0,44221
653,653,0,0,44221
654,654,0,0,47874
655,655,0,0,47874
656,656,0,0,47874
657,657,0,0,47874
658,658,0,0,47874
659,659,0,0,26559
660,660,0,0,26559
661,661,0,0,26559
662,662,0,0,26559
663,663,0,0,26559
664,664,0,0,8897
665,665,0,0,8897
666,666,0,0,8897
667,667,0,0,8897
668,668,0,0,8897
669,669,0,0,35456
670,670,0,0,35456
671,671,0,0,35456
672,672,0,0,35456
673,673,0,0,35456
674,674,0,0,44353
675,675,0,0,44353
676,676,0,0,44353
677,677,0,0,44353
678,678,0,0,44353
679,679,0,0,14273
680,680,0,0,14273
681,681,0,0,14273
682,682,0,0,14273
683,683,0,0,14273
684,684,0,0,58626
685,685,0,0,58626
686,686,0,0,58626
687,687,0,0,58626
688,688,0,0,58626
689,689,0,0,7363
690,690,0,0,7363
691,691,0,0,7363
692,692,0,0,7363
693,693,0,0,7363
694,694,0,0,453
695,695,0,0,453
696,696,0,0,453
697,697,0,0,453
698,698,0,0,453
699,699,0,0,7816
700,700,0,0,7816
701,701,0,0,7816
702,702,0,0,7816
703,703,0,0,7816
704,704,0,0,8269
705,705,0,0,8269
706,706,0,0,8269
707,707,0,0,8269
708,708,0,0,8269
709,709,0,0,16085
710,710,0,0,16085
711,711,0,0,16085
712,712,0,0,16085
713,713,0,0,16085
714,714,0,0,24354
715,715,0,0,24354
716,716,0,0,24354
717,717,0,0,24354
718,718,0,0,24354
719,719,0,0,40439
720,720,0,0,40439
721,721,0,0,40439
722,722,0,0,40439
723,723,0,0,40439
724,724,0,0,64793
725,725,0,0,64793
726,726,0,0,64793
727,727,0,0,64793
728,728,0,0,64793
729,729,0,0,39696
730,730,0,0,39696
731,731,0,0,39696
732,732,0,0,39696
733,733,0,0,39696
734,734,0,0,38953
735,735,0,0,38953
736,736,0,0,38953
737,737,0,0,38953
738,738,0,0,38953
739,739,0,0,13113
740,740,0,0,13113
741,741,0,0,13113
742,742,0,0,13113
743,743,0,0,13113
744,744,0,0,52066
745,745,0,0,52066
746,746,0,0,52066
747,747,0,0,52066
748,748,0,0,52066
749,749,0,0,65179
750,750,0,0,65179
751,751,0,0,65179
752,752,0,0,65179
753,753,0,0,65179
754,754,0,0,51709
755,755,0,0,51709
756,756,0,0,51709
757,757,0,0,51709
758,758,0,0,51709
759,759,0,0,51352
760,760,0,0,51352
761,761,0,0,51352
762,762,0,0,51352
763,763,0,0,51352
764,764,0,0,37525
765,765,0,0,37525
766,766,0,0,37525
767,767,0,0,37525
768,768,0,0,37525
769,769,0,0,23341
770,770,0,0,23341
771,771,0,0,23341
772,772,0,0,23341
773,773,0,0,23341
774,774,0,0,60866
775,775,0,0,60866
776,776,0,0,60866
777,777,0,0,60866
778,778,0,0,60866
779,779,0,0,18671
780,780,0,0,18671
781,781,0,0,18671
782,782,0,0,18671
783,783,0,0,18671
784,784,0,0,14001
785,785,0,0,14001
786,786,0,0,14001
787,787,0,0,14001
788,788,0,0,14001
789,789,0,0,32672
790,790,0,0,32672
791,791,0,0,32672
792,792,0,0,32672
793,793,0,0,32672
794,794,0,0,46673
795,795,0,0,46673
796,796,0,0,46673
797,797,0,0,46673
798,798,0,0,46673
799,799,0,0,13809
800,800,0,0,13809
801,801,0,0,13809
802,802,0,0,13809
803,803,0,0,13809
804,804,0,0,60482
805,805,0,0,60482
806,806,0,0,60482
807,807,0,0,60482
808,808,0,0,60482
809,809,0,0,8755
810,810,0,0,8755
811,811,0,0,8755
812,812,0,0,8755
813,813,0,0,8755
814,814,0,0,3701
815,815,0,0,3701
816,816,0,0,3701
817,817,0,0,3701
818,818,0,0,3701
819,819,0,0,12456
820,820,0,0,12456
821,821,0,0,12456
822,822,0,0,12456
823,823,0,0,12456
824,824,0,0,16157
825,825,0,0,16157
826,826,0,0,16157
827,827,0,0,16157
828,828,0,0,16157
829,829,0,0,28613
830,830,0,0,28613
831,831,0,0,28613
832,832,0,0,28613
833,833,0,0,28613
834,834,0,0,44770
835,835,0,0,44770
836,836,0,0,44770
837,837,0,0,44770
838,838,0,0,44770
839,839,0,0,7847
840,840,0,0,7847
841,841,0,0,7847
842,842,0,0,7847
843,843,0,0,7847
844,844,0,0,52617
845,845,0,0,52617
846,846,0,0,52617
847,847,0,0,52617
848,848,0,0,52617
849,849,0,0,60464
850,850,0,0,60464
851,851,0,0,60464
852,852,0,0,60464
853,853,0,0,60464
854,854,0,0,47545
855,855,0,0,47545
856,856,0,0,47545
857,857,0,0,47545
858,858,0,0,47545
859,859,0,0,42473
860,860,0,0,42473
