Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,48809
1,1,0,0,48809
2,2,0,0,48809
3,3,0,0,48809
4,4,0,0,48809
5,5,0,0,7865
6,6,0,0,7865
7,7,0,0,7865
8,8,0,0,7865
9,9,0,0,7865
10,10,0,0,56674
11,11,0,0,56674
12,12,0,0,56674
13,13,0,0,56674
14,14,0,0,56674
15,15,0,0,64539
16,16,0,0,64539
17,17,0,0,64539
18,18,0,0,64539
19,19,0,0,64539
20,20,0,0,55677
21,21,0,0,55677
22,22,0,0,55677
23,23,0,0,55677
24,24,0,0,55677
25,25,0,0,54680
26,26,0,0,54680
27,27,0,0,54680
28,28,0,0,54680
29,29,0,0,54680
30,30,0,0,44821
31,31,0,0,44821
32,32,0,0,44821
33,33,0,0,44821
34,34,0,0,44821
35,35,0,0,33965
36,36,0,0,33965
37,37,0,0,33965
38,38,0,0,33965
39,39,0,0,33965
40,40,0,0,13250
41,41,0,0,13250
42,42,0,0,13250
43,43,0,0,13250
44,44,0,0,13250
45,45,0,0,47215
46,46,0,0,47215
47,47,0,0,47215
48,48,0,0,47215
49,49,0,0,47215
50,50,0,0,60465
51,51,0,0,60465
52,52,0,0,60465
53,53,0,0,60465
54,54,0,0,60465
55,55,0,0,42144
56,56,0,0,42144
57,57,0,0,42144
58,58,0,0,42144
59,59,0,0,42144
60,60,0,0,37073
61,61,0,0,37073
62,62,0,0,37073
63,63,0,0,37073
64,64,0,0,37073
65,65,0,0,13681
66,66,0,0,13681
67,67,0,0,13681
68,68,0,0,13681
69,69,0,0,13681
70,70,0,0,50754
71,71,0,0,50754
72,72,0,0,50754
73,73,0,0,50754
74,74,0,0,50754
75,75,0,0,64435
76,76,0,0,64435
77,77,0,0,64435
78,78,0,0,64435
79,79,0,0,64435
80,80,0,0,49653
81,81,0,0,49653
82,82,0,0,49653
83,83,0,0,49653
84,84,0,0,49653
85,85,0,0,48552
