Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,1829,65033
1,1,0,1951,65033
2,2,0,2072,60121
3,3,0,2196,60121
4,4,0,2319,60121
5,5,0,2439,60121
6,6,0,2562,60121
7,7,0,2616,59618
8,8,0,2738,59618
9,9,0,2865,59618
10,10,0,3048,59618
11,11,0,3172,59618
12,12,0,3226,54203
13,13,0,3417,54203
14,14,0,3539,54203
15,15,0,3592,54203
16,16,0,3714,54203
17,17,0,3904,48285
18,18,0,4027,48285
19,19,0,4148,48285
20,20,0,4270,48285
21,21,0,4392,48285
22,22,0,4514,36952
23,23,0,4633,36952
24,24,0,4752,36952
25,25,0,4880,36952
26,26,0,5002,36952
27,27,0,5125,19701
28,28,0,5247,19701
29,29,0,5368,19701
30,30,0,5426,19701
31,31,0,5612,19701
32,32,0,5666,56653
33,33,0,5793,56653
34,34,0,5912,56653
35,35,0,6100,56653
36,36,0,6155,56653
37,37,0,6344,10818
38,38,0,6467,10818
39,39,0,6588,10818
40,40,0,6710,10818
41,41,0,6832,10818
42,42,0,6955,1935
43,43,0,7073,1935
44,44,0,7192,1935
45,45,0,7320,1935
46,46,0,7443,1935
47,47,0,7565,12753
48,48,0,7687,12753
49,49,0,7810,12753
50,50,0,7866,12753
51,51,0,8053,12753
52,52,0,8106,14688
53,53,0,41,14688
54,54,0,160,14688
55,55,0,280,14688
56,56,0,402,14688
57,57,0,593,27441
58,58,0,8907,27441
59,59,0,9028,27441
60,60,0,9150,27441
61,61,0,9272,27441
62,62,0,1202,42129
63,63,0,1321,42129
64,64,0,1440,42129
65,65,0,1584,42129
66,66,0,9883,42129
67,67,0,10005,4034
68,68,0,10127,4034
69,69,0,10248,4034
70,70,0,10370,4034
71,71,0,10492,4034
72,72,0,2354,46163
73,73,0,10737,46163
74,74,0,10859,46163
75,75,0,2720,46163
76,76,0,11102,46163
77,77,0,2968,50197
78,78,0,3154,50197
79,79,0,11469,50197
80,80,0,3329,50197
81,81,0,3516,50197
82,82,0,3641,30824
83,83,0,3760,30824
84,84,0,3882,30824
85,85,0,4003,30824
86,86,0,0,30824
87,87,0,120,15485
88,88,0,179,15485
89,89,0,364,15485
90,90,0,486,15485
91,91,0,544,15485
92,92,0,730,46309
93,93,0,853,46309
94,94,0,972,46309
95,95,0,1024,46309
96,96,0,1154,46309
97,97,0,1340,61794
98,98,0,1458,61794
99,99,0,1585,61794
100,100,0,1704,61794
101,101,0,1824,61794
102,102,0,1946,42567
103,103,0,2073,42567
104,104,0,2193,42567
105,105,0,2312,42567
106,106,0,2434,42567
107,107,0,2560,38825
108,108,0,2619,38825
109,109,0,2804,38825
110,110,0,2924,38825
111,111,0,3048,38825
112,112,0,3170,15856
113,113,0,3293,15856
114,114,0,3412,15856
115,115,0,3528,15856
116,116,0,3658,15856
117,117,0,3780,54681
118,118,0,3899,54681
119,119,0,4025,54681
120,120,0,4144,54681
121,121,0,4264,54681
122,122,0,4386,5001
123,123,0,4513,5001
124,124,0,4632,5001
125,125,0,4752,5001
126,126,0,4875,5001
127,127,0,5001,59682
128,128,0,5123,59682
129,129,0,5246,59682
130,130,0,5298,59682
131,131,0,5489,59682
132,132,0,5611,64683
133,133,0,5665,64683
134,134,0,5784,64683
135,135,0,5976,64683
136,136,0,6035,64683
137,137,0,6221,58829
138,138,0,6343,58829
139,139,0,6464,58829
140,140,0,6586,58829
141,141,0,6708,58829
142,142,0,6830,57976
143,143,0,6952,57976
144,144,0,7075,57976
145,145,0,7195,57976
146,146,0,7316,57976
147,147,0,7432,51269
148,148,0,7562,51269
149,149,0,7685,51269
150,150,0,7737,51269
151,151,0,7924,51269
152,152,0,8048,43709
153,153,0,8172,43709
154,154,0,8227,43709
155,155,0,8415,43709
156,156,0,280,43709
157,157,0,8659,29442
158,158,0,520,29442
159,159,0,648,29442
160,160,0,9024,29442
161,161,0,954,29442
162,162,0,9268,7615
163,163,0,1194,7615
164,164,0,1321,7615
165,165,0,9632,7615
