Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,17678,35010
1,1,0,17842,25263
2,2,0,18000,25263
3,3,0,18174,25263
4,4,0,18333,25263
5,5,0,0,25263
6,6,0,161,60273
7,7,0,324,60273
8,8,0,498,60273
9,9,0,680,60273
10,10,0,851,60273
11,11,0,1017,20000
12,12,0,1186,20000
13,13,0,1325,20000
14,14,0,1477,20000
15,15,0,1637,20000
16,16,0,1803,14737
17,17,0,1964,14737
18,18,0,2138,14737
19,19,0,2290,14737
20,20,0,2459,14737
21,21,0,2621,34737
22,22,0,2784,34737
23,23,0,2958,34737
24,24,0,2988,34737
25,25,0,3151,34737
26,26,0,3315,49474
27,27,0,3476,49474
28,28,0,3650,49474
29,29,0,3803,49474
30,30,0,3966,49474
31,31,0,4124,18675
32,32,0,4287,18675
33,33,0,4457,18675
34,34,0,4613,18675
35,35,0,4775,18675
36,36,0,4938,2613
37,37,0,5096,2613
38,38,0,5268,2613
39,39,0,5432,2613
40,40,0,5649,2613
41,41,0,5797,21288
42,42,0,5960,21288
43,43,0,6133,21288
44,44,0,6285,21288
45,45,0,6480,21288
46,46,0,6644,23901
47,47,0,6809,23901
48,48,0,6978,23901
49,49,0,7129,23901
50,50,0,7292,23901
51,51,0,7459,45189
52,52,0,7623,45189
53,53,0,7788,45189
54,54,0,7943,45189
55,55,0,8107,45189
56,56,0,8269,3554
57,57,0,8434,3554
58,58,0,8602,3554
59,59,0,8723,3554
60,60,0,8880,3554
61,61,0,9051,48743
62,62,0,9211,48743
63,63,0,9376,48743
64,64,0,9539,48743
65,65,0,9692,48743
66,66,0,9858,52297
67,67,0,10021,52297
68,68,0,10190,52297
69,69,0,10347,52297
70,70,0,10504,52297
71,71,0,10664,35504
72,72,0,10833,35504
73,73,0,11000,35504
74,74,0,11159,35504
75,75,0,11317,35504
76,76,0,11485,22265
77,77,0,11658,22265
78,78,0,11825,22265
79,79,0,11981,22265
80,80,0,12145,22265
81,81,0,12311,57769
82,82,0,12472,57769
83,83,0,12646,57769
84,84,0,12797,57769
85,85,0,12963,57769
86,86,0,13122,14498
87,87,0,13283,14498
88,88,0,13449,14498
89,89,0,13603,14498
90,90,0,13765,14498
91,91,0,13797,6731
92,92,0,14286,6731
93,93,0,14455,6731
94,94,0,14604,6731
95,95,0,14806,6731
96,96,0,14940,21229
97,97,0,15111,21229
98,98,0,15279,21229
99,99,0,15428,21229
100,100,0,15588,21229
101,101,0,15757,27960
102,102,0,15922,27960
103,103,0,16087,27960
104,104,0,16236,27960
105,105,0,16274,27960
106,106,0,0,49189
107,107,0,202,49189
108,108,0,367,49189
109,109,0,523,49189
110,110,0,687,49189
111,111,0,844,11613
112,112,0,1011,11613
113,113,0,1177,11613
114,114,0,1330,11613
115,115,0,1489,11613
116,116,0,1651,60802
117,117,0,1811,60802
118,118,0,1981,60802
119,119,0,2134,60802
120,120,0,2330,60802
121,121,0,2496,6879
122,122,0,2724,6879
123,123,0,2901,6879
124,124,0,3052,6879
125,125,0,3186,6879
126,126,0,3347,2145
127,127,0,3509,2145
128,128,0,3676,2145
129,129,0,3824,2145
130,130,0,2263,2145
131,131,0,2422,9024
132,132,0,2589,9024
133,133,0,2755,9024
134,134,0,2909,9024
135,135,0,3041,9024
136,136,0,3200,11169
137,137,0,3371,11169
138,138,0,3537,11169
139,139,0,3691,11169
140,140,0,3854,11169
141,141,0,4017,20193
142,142,0,4183,20193
143,143,0,4382,20193
144,144,0,4531,20193
145,145,0,4699,20193
146,146,0,4855,31362
147,147,0,5013,31362
148,148,0,5176,31362
149,149,0,5336,31362
150,150,0,5500,31362
151,151,0,5661,51555
152,152,0,5820,51555
153,153,0,5991,51555
154,154,0,6142,51555
155,155,0,6303,51555
156,156,0,6468,17381
157,157,0,6631,17381
158,158,0,6798,17381
159,159,0,6951,17381
160,160,0,7113,17381
161,161,0,7272,3400
162,162,0,7438,3400
163,163,0,7600,3400
164,164,0,7789,3400
165,165,0,7946,3400
166,166,0,8111,20781
167,167,0,8271,20781
168,168,0,8413,20781
169,169,0,8563,20781
170,170,0,8737,20781
171,171,0,8897,24181
172,172,0,9032,24181
173,173,0,9206,24181
174,174,0,9359,24181
175,175,0,9519,24181
176,176,0,9714,44962
177,177,0,9877,44962
178,178,0,10046,44962
179,179,0,10194,44962
180,180,0,10355,44962
181,181,0,10513,3607
182,182,0,10674,3607
183,183,0,10843,3607
184,184,0,10993,3607
185,185,0,11154,3607
186,186,0,11313,48569
187,187,0,11482,48569
188,188,0,11654,48569
189,189,0,11836,48569
190,190,0,12032,48569
191,191,0,12167,52176
192,192,0,12334,52176
193,193,0,12498,52176
194,194,0,12651,52176
195,195,0,12622,52176
196,196,0,12662,35209
197,197,0,12824,35209
198,198,0,12998,35209
199,199,0,13144,35209
200,200,0,13311,35209
201,201,0,13557,21849
202,202,0,13605,21849
203,203,0,13774,21849
204,204,0,13926,21849
205,205,0,14090,21849
206,206,0,14249,57058
207,207,0,0,57058
208,208,0,167,57058
209,209,0,319,57058
210,210,0,481,57058
211,211,0,647,13371
212,212,0,804,13371
213,213,0,972,13371
214,214,0,1131,13371
215,215,0,1290,13371
216,216,0,1454,4893
217,217,0,1977,4893
218,218,0,2146,4893
