Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,11335
1,1,0,0,11335
2,2,0,0,11335
3,3,0,0,11335
4,4,0,0,13737
5,5,0,0,13737
6,6,0,0,13737
7,7,0,0,13737
8,8,0,0,13737
9,9,0,0,25072
10,10,0,0,25072
11,11,0,0,25072
12,12,0,0,25072
13,13,0,0,25072
14,14,0,0,38809
15,15,0,0,38809
16,16,0,0,38809
17,17,0,0,38809
18,18,0,0,38809
19,19,0,0,63881
20,20,0,0,63881
21,21,0,0,63881
22,22,0,0,63881
23,23,0,0,63881
24,24,0,0,37154
25,25,0,0,37154
26,26,0,0,37154
27,27,0,0,37154
28,28,0,0,37154
29,29,0,0,35499
30,30,0,0,35499
31,31,0,0,35499
32,32,0,0,35499
33,33,0,0,35499
34,34,0,0,7117
35,35,0,0,7117
36,36,0,0,7117
37,37,0,0,7117
38,38,0,0,7117
39,39,0,0,42616
40,40,0,0,42616
41,41,0,0,42616
42,42,0,0,42616
43,43,0,0,42616
44,44,0,0,49733
45,45,0,0,49733
46,46,0,0,49733
47,47,0,0,49733
48,48,0,0,49733
49,49,0,0,26813
50,50,0,0,26813
51,51,0,0,26813
52,52,0,0,26813
53,53,0,0,26813
54,54,0,0,11010
55,55,0,0,11010
56,56,0,0,11010
57,57,0,0,11010
58,58,0,0,11010
59,59,0,0,37823
60,60,0,0,37823
61,61,0,0,37823
62,62,0,0,37823
63,63,0,0,37823
64,64,0,0,48833
65,65,0,0,48833
66,66,0,0,48833
67,67,0,0,48833
68,68,0,0,48833
69,69,0,0,21120
70,70,0,0,21120
71,71,0,0,21120
72,72,0,0,21120
73,73,0,0,21120
74,74,0,0,4417
75,75,0,0,4417
76,76,0,0,4417
77,77,0,0,4417
78,78,0,0,4417
79,79,0,0,25537
80,80,0,0,25537
81,81,0,0,25537
82,82,0,0,25537
83,83,0,0,25537
84,84,0,0,29954
85,85,0,0,29954
86,86,0,0,29954
87,87,0,0,29954
88,88,0,0,29954
89,89,0,0,55491
90,90,0,0,55491
91,91,0,0,55491
92,92,0,0,55491
93,93,0,0,55491
94,94,0,0,19909
95,95,0,0,19909
96,96,0,0,19909
97,97,0,0,19909
98,98,0,0,19909
99,99,0,0,9864
100,100,0,0,9864
101,101,0,0,9864
102,102,0,0,9864
103,103,0,0,9864
104,104,0,0,29773
105,105,0,0,29773
106,106,0,0,29773
107,107,0,0,29773
108,108,0,0,29773
109,109,0,0,39637
110,110,0,0,39637
111,111,0,0,39637
112,112,0,0,39637
