Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,10656,0
1,1,0,10780,0
2,2,0,10899,0
3,3,0,2833,0
4,4,0,2952,0
5,5,0,3074,0
6,6,0,3201,0
7,7,0,11512,0
8,8,0,11638,0
9,9,0,11760,0
10,10,0,11883,0
11,11,0,12004,0
12,12,0,12064,0
13,13,0,3994,0
14,14,0,0,0
15,15,0,120,0
16,16,0,243,0
17,17,0,296,0
18,18,0,424,0
19,19,0,546,0
20,20,0,665,0
21,21,0,784,0
22,22,0,978,0
23,23,0,1101,0
24,24,0,1223,0
25,25,0,1344,0
26,26,0,1468,0
27,27,0,1591,0
28,28,0,1712,0
29,29,0,1832,0
30,30,0,1954,0
31,31,0,2081,0
32,32,0,2200,0
33,33,0,2326,0
34,34,0,2449,0
35,35,0,2571,0
36,36,0,2692,0
37,37,0,2816,0
38,38,0,2939,0
39,39,0,2992,0
40,40,0,3104,0
41,41,0,3242,0
42,42,0,3361,0
43,43,0,3548,0
44,44,0,3674,0
45,45,0,3796,0
46,46,0,3919,0
47,47,0,4040,0
48,48,0,4096,0
49,49,0,4282,0
50,50,0,4409,0
51,51,0,4528,0
52,52,0,4654,0
53,53,0,4776,0
54,54,0,4899,0
55,55,0,5020,0
56,56,0,5144,0
57,57,0,5267,0
58,58,0,5385,0
59,59,0,5504,0
60,60,0,5634,0
61,61,0,5756,0
62,62,0,5879,0
63,63,0,6000,0
64,64,0,6124,0
65,65,0,6247,0
66,66,0,6304,0
67,67,0,6424,0
68,68,0,6546,0
69,69,0,6673,0
70,70,0,6792,0
71,71,0,6982,0
72,72,0,7105,0
73,73,0,7227,0
74,74,0,7348,0
75,75,0,7472,0
76,76,0,7595,0
77,77,0,7712,0
78,78,0,7856,0
79,79,0,7962,0
80,80,0,8081,0
81,81,0,8,0
82,82,0,8330,0
83,83,0,8452,0
84,84,0,8575,0
85,85,0,8696,0
86,86,0,560,0
87,87,0,682,0
88,88,0,809,0
89,89,0,9184,0
90,90,0,9310,0
91,91,0,9432,0
92,92,0,9555,0
93,93,0,1416,0
94,94,0,1536,0
95,95,0,1666,0
96,96,0,1853,0
97,97,0,10165,0
98,98,0,10288,0
99,99,0,10412,0
100,100,0,10535,0
101,101,0,2465,0
102,102,0,2584,0
103,103,0,2706,0
104,104,0,11025,0
105,105,0,11147,0
106,106,0,11270,0
107,107,0,11392,0
108,108,0,3259,0
109,109,0,3377,0
110,110,0,3496,0
111,111,0,11882,0
112,112,0,12004,0
113,113,0,12127,0
114,114,0,3992,0
115,115,0,0,0
116,116,0,121,0
117,117,0,243,0
118,118,0,364,0
119,119,0,488,0
120,120,0,611,0
121,121,0,665,0
122,122,0,784,0
123,123,0,914,0
124,124,0,1033,0
125,125,0,1220,0
126,126,0,1346,0
127,127,0,1468,0
128,128,0,1591,0
129,129,0,1712,0
130,130,0,1836,0
131,131,0,1955,0
132,132,0,2081,0
133,133,0,2200,0
134,134,0,2322,0
135,135,0,2449,0
136,136,0,2568,0
137,137,0,2694,0
138,138,0,2817,0
139,139,0,2939,0
140,140,0,3060,0
141,141,0,3184,0
142,142,0,3307,0
143,143,0,3428,0
144,144,0,3504,0
145,145,0,3610,0
146,146,0,3729,0
147,147,0,3848,0
148,148,0,4042,0
149,149,0,4165,0
150,150,0,4287,0
151,151,0,4408,0
152,152,0,4532,0
153,153,0,4655,0
154,154,0,4777,0
155,155,0,4896,0
156,156,0,5018,0
157,157,0,5145,0
158,158,0,5264,0
159,159,0,5386,0
160,160,0,5513,0
161,161,0,5632,0
162,162,0,5758,0
163,163,0,5881,0
164,164,0,6001,0
165,165,0,6126,0
166,166,0,6248,0
167,167,0,6371,0
168,168,0,6492,0
169,169,0,6616,0
170,170,0,6739,0
171,171,0,6860,0
172,172,0,6920,0
173,173,0,7043,0
174,174,0,7225,0
175,175,0,7352,0
176,176,0,7474,0
177,177,0,7593,0
178,178,0,7712,0
179,179,0,7842,0
180,180,0,7961,0
181,181,0,8080,0
182,182,0,18,0
183,183,0,137,0
184,184,0,8452,0
185,185,0,8578,0
186,186,0,8700,0
187,187,0,8823,0
188,188,0,8944,0
189,189,0,9000,0
190,190,0,930,0
191,191,0,1057,0
192,192,0,1176,0
193,193,0,9558,0
194,194,0,9680,0
195,195,0,9803,0
196,196,0,9924,0
197,197,0,10048,0
198,198,0,1979,0
199,199,0,2097,0
200,200,0,2216,0
201,201,0,10538,0
202,202,0,10660,0
203,203,0,10783,0
204,204,0,10904,0
205,205,0,11024,0
206,206,0,2955,0
207,207,0,3081,0
208,208,0,3200,0
209,209,0,3326,0
210,210,0,11641,0
211,211,0,11763,0
212,212,0,11884,0
213,213,0,12008,0
214,214,0,12131,0
215,215,0,3992,0
216,216,0,0,0
217,217,0,121,0
218,218,0,243,0
219,219,0,364,0
220,220,0,488,0
221,221,0,611,0
222,222,0,732,0
223,223,0,856,0
224,224,0,915,0
225,225,0,1032,0
226,226,0,1160,0
227,227,0,1282,0
228,228,0,1465,0
229,229,0,1584,0
230,230,0,1714,0
231,231,0,1833,0
232,232,0,1952,0
233,233,0,2082,0
234,234,0,2201,0
235,235,0,2320,0
236,236,0,2450,0
237,237,0,2573,0
238,238,0,2692,0
239,239,0,2818,0
240,240,0,2941,0
241,241,0,3063,0
242,242,0,3186,0
243,243,0,3308,0
244,244,0,3431,0
245,245,0,3552,0
246,246,0,3676,0
247,247,0,3799,0
248,248,0,3920,0
249,249,0,4044,0
250,250,0,4167,0
251,251,0,4288,0
252,252,0,4412,0
253,253,0,4535,0
254,254,0,4656,0
255,255,0,4780,0
256,256,0,4899,0
257,257,0,5025,0
258,258,0,5144,0
259,259,0,5266,0
260,260,0,5393,0
261,261,0,5512,0
262,262,0,5638,0
263,263,0,5761,0
264,264,0,5881,0
265,265,0,6006,0
266,266,0,6128,0
267,267,0,6251,0
268,268,0,6372,0
269,269,0,6496,0
270,270,0,6619,0
271,271,0,6740,0
272,272,0,6864,0
273,273,0,6987,0
274,274,0,7108,0
275,275,0,7232,0
276,276,0,7355,0
277,277,0,7472,0
278,278,0,7584,0
279,279,0,7722,0
280,280,0,7841,0
281,281,0,7960,0
282,282,0,8090,0
283,283,0,17,0
284,284,0,136,0
285,285,0,266,0
286,286,0,385,0
287,287,0,440,0
288,288,0,570,0
289,289,0,689,0
290,290,0,808,0
291,291,0,1002,0
292,292,0,9317,0
293,293,0,9436,0
294,294,0,9562,0
295,295,0,9685,0
296,296,0,9804,0
297,297,0,9930,0
298,298,0,10053,0
299,299,0,10172,0
300,300,0,10298,0
301,301,0,10421,0
302,302,0,10540,0
303,303,0,10666,0
304,304,0,10789,0
305,305,0,10908,0
306,306,0,11034,0
307,307,0,11157,0
308,308,0,11279,0
309,309,0,11400,0
310,310,0,11524,0
311,311,0,11647,0
312,312,0,11768,0
313,313,0,11892,0
314,314,0,12015,0
315,315,0,12136,0
316,316,0,12260,0
317,317,0,0,0
318,318,0,57,0
319,319,0,176,0
320,320,0,298,0
321,321,0,425,0
322,322,0,544,0
323,323,0,666,0
324,324,0,793,0
325,325,0,912,0
326,326,0,1034,0
327,327,0,1161,0
328,328,0,1280,0
329,329,0,1466,0
330,330,0,1593,0
331,331,0,1712,0
332,332,0,1834,0
333,333,0,1961,0
334,334,0,2080,0
335,335,0,2202,0
336,336,0,2329,0
337,337,0,2448,0
338,338,0,2570,0
339,339,0,2697,0
340,340,0,2816,0
341,341,0,2875,0
342,342,0,3000,0
343,343,0,3120,0
344,344,0,3243,0
345,345,0,3368,0
346,346,0,3488,0
347,347,0,3611,0
348,348,0,3736,0
349,349,0,3856,0
350,350,0,3979,0
351,351,0,4104,0
352,352,0,4224,0
353,353,0,4411,0
354,354,0,4536,0
355,355,0,4656,0
356,356,0,4779,0
357,357,0,4905,0
358,358,0,5024,0
359,359,0,5146,0
360,360,0,5273,0
361,361,0,5392,0
362,362,0,5514,0
363,363,0,5641,0
364,364,0,5760,0
365,365,0,5818,0
366,366,0,5945,0
367,367,0,6064,0
368,368,0,6186,0
369,369,0,6313,0
370,370,0,6432,0
371,371,0,6554,0
372,372,0,6681,0
373,373,0,6800,0
374,374,0,6922,0
375,375,0,7113,0
376,376,0,7232,0
377,377,0,7358,0
378,378,0,7481,0
379,379,0,7600,0
380,380,0,7726,0
381,381,0,7849,0
382,382,0,7968,0
383,383,0,8094,0
384,384,0,8217,0
385,385,0,8337,0
386,386,0,8462,0
387,387,0,8584,0
388,388,0,8707,0
389,389,0,8828,0
390,390,0,8952,0
391,391,0,9075,0
392,392,0,9196,0
393,393,0,9320,0
394,394,0,9443,0
395,395,0,9564,0
396,396,0,9688,0
397,397,0,9811,0
398,398,0,9932,0
399,399,0,9992,0
400,400,0,1923,0
401,401,0,2105,0
402,402,0,2232,0
403,403,0,2354,0
404,404,0,2473,0
405,405,0,2592,0
406,406,0,2722,0
407,407,0,2841,0
408,408,0,11156,0
409,409,0,11282,0
410,410,0,11405,0
411,411,0,11527,0
412,412,0,11648,0
413,413,0,11772,0
414,414,0,11895,0
415,415,0,12016,0
416,416,0,12140,0
417,417,0,12263,0
418,418,0,0,0
419,419,0,120,0
420,420,0,243,0
421,421,0,366,0
422,422,0,488,0
423,423,0,611,0
424,424,0,732,0
425,425,0,856,0
426,426,0,979,0
427,427,0,1100,0
428,428,0,1224,0
429,429,0,1347,0
430,430,0,1468,0
431,431,0,1592,0
432,432,0,1715,0
433,433,0,1836,0
434,434,0,1960,0
435,435,0,2083,0
436,436,0,2200,0
437,437,0,2328,0
438,438,0,2451,0
439,439,0,2569,0
440,440,0,2688,0
441,441,0,2818,0
442,442,0,2873,0
443,443,0,2992,0
444,444,0,3186,0
445,445,0,3309,0
446,446,0,3431,0
447,447,0,3552,0
448,448,0,3676,0
449,449,0,3799,0
450,450,0,3920,0
451,451,0,4044,0
452,452,0,4167,0
453,453,0,4224,0
454,454,0,4408,0
455,455,0,4530,0
456,456,0,4657,0
457,457,0,4776,0
458,458,0,4902,0
459,459,0,5025,0
460,460,0,5144,0
461,461,0,5270,0
462,462,0,5393,0
463,463,0,5513,0
464,464,0,5638,0
465,465,0,5760,0
466,466,0,5883,0
467,467,0,6004,0
468,468,0,6128,0
469,469,0,6251,0
470,470,0,6372,0
471,471,0,6432,0
472,472,0,6555,0
473,473,0,6673,0
474,474,0,6784,0
475,475,0,6922,0
476,476,0,7041,0
477,477,0,7224,0
478,478,0,7354,0
479,479,0,7473,0
