Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,8668,16514
1,1,0,8723,15331
2,2,0,656,15331
3,3,0,776,15331
4,4,0,9157,15331
5,5,0,9277,15331
6,6,0,9400,31845
7,7,0,1328,31845
8,8,0,9643,31845
9,9,0,9767,31845
10,10,0,9888,31845
11,11,0,10008,47176
12,12,0,1942,47176
13,13,0,2065,47176
14,14,0,2185,47176
15,15,0,2304,47176
16,16,0,10622,13485
17,17,0,10744,13485
18,18,0,10865,13485
19,19,0,2728,13485
20,20,0,11110,13485
21,21,0,11232,60661
22,22,0,11355,60661
23,23,0,11476,60661
24,24,0,11598,60661
25,25,0,11721,60661
26,26,0,3587,8610
27,27,0,3769,8610
28,28,0,3888,8610
29,29,0,12208,8610
30,30,0,0,8610
31,31,0,120,3735
32,32,0,178,3735
33,33,0,297,3735
34,34,0,486,3735
35,35,0,608,3735
36,36,0,730,12345
37,37,0,853,12345
38,38,0,975,12345
39,39,0,1024,12345
40,40,0,1154,12345
41,41,0,1340,16080
42,42,0,1463,16080
43,43,0,1584,16080
44,44,0,1704,16080
45,45,0,1828,16080
46,46,0,1946,28425
47,47,0,2073,28425
48,48,0,2192,28425
49,49,0,2312,28425
50,50,0,2434,28425
51,51,0,2561,44505
52,52,0,2683,44505
53,53,0,2804,44505
54,54,0,2926,44505
55,55,0,2985,44505
56,56,0,3171,7394
57,57,0,3225,7394
58,58,0,3344,7394
59,59,0,3536,7394
60,60,0,3594,7394
61,61,0,3780,51899
62,62,0,3903,51899
63,63,0,4024,51899
64,64,0,4146,51899
65,65,0,4268,51899
66,66,0,4386,59293
67,67,0,4513,59293
68,68,0,4633,59293
69,69,0,4752,59293
70,70,0,4878,59293
71,71,0,4992,45656
72,72,0,5122,45656
73,73,0,5177,45656
74,74,0,5297,45656
75,75,0,5416,45656
76,76,0,5608,39413
77,77,0,5664,39413
78,78,0,5855,39413
79,79,0,5975,39413
80,80,0,6033,39413
81,81,0,6216,19533
82,82,0,6342,19533
83,83,0,6464,19533
84,84,0,6585,19533
85,85,0,6704,19533
86,86,0,6825,58946
87,87,0,6944,58946
88,88,0,7074,58946
89,89,0,7195,58946
90,90,0,7313,58946
91,91,0,7432,12943
92,92,0,7560,12943
93,93,0,7684,12943
94,94,0,7737,12943
95,95,0,7927,12943
96,96,0,7985,6353
97,97,0,8168,6353
98,98,0,8294,6353
99,99,0,222,6353
100,100,0,8537,6353
101,101,0,402,19296
102,102,0,521,19296
103,103,0,708,19296
104,104,0,824,19296
105,105,0,9146,19296
106,106,0,9268,25649
107,107,0,1195,25649
108,108,0,1321,25649
109,109,0,9632,25649
110,110,0,1560,25649
111,111,0,9878,44945
112,112,0,10001,44945
113,113,0,10123,44945
114,114,0,10241,44945
115,115,0,10366,44945
116,116,0,2224,5058
117,117,0,10610,5058
118,118,0,10733,5058
119,119,0,2593,5058
120,120,0,10975,5058
121,121,0,11032,50003
122,122,0,2960,50003
123,123,0,3150,50003
124,124,0,3203,50003
125,125,0,3329,50003
126,126,0,11704,55061
127,127,0,11830,55061
128,128,0,11952,55061
129,129,0,12073,55061
130,130,0,12195,55061
131,131,0,0,39528
132,132,0,121,39528
133,133,0,243,39528
134,134,0,360,39528
135,135,0,486,39528
136,136,0,544,29053
137,137,0,666,29053
138,138,0,785,29053
139,139,0,972,29053
140,140,0,1032,29053
141,141,0,1218,3045
142,142,0,1340,3045
143,143,0,1463,3045
144,144,0,1580,3045
145,145,0,1706,3045
146,146,0,1824,32098
147,147,0,1950,32098
148,148,0,2073,32098
149,149,0,2193,32098
150,150,0,2312,32098
151,151,0,2438,35143
152,152,0,2816,35143
153,153,0,2683,35143
154,154,0,2736,35143
155,155,0,2926,35143
156,156,0,3048,1705
157,157,0,3106,1705
158,158,0,3225,1705
159,159,0,3412,1705
160,160,0,3536,1705
161,161,0,3658,36848
162,162,0,3781,36848
163,163,0,3901,36848
164,164,0,4020,36848
165,165,0,4144,36848
166,166,0,4268,38553
167,167,0,4386,38553
168,168,0,4513,38553
169,169,0,4632,38553
170,170,0,4752,38553
171,171,0,4876,9865
172,172,0,5001,9865
173,173,0,5123,9865
174,174,0,5240,9865
175,175,0,5298,9865
176,176,0,5488,48418
177,177,0,5546,48418
178,178,0,5665,48418
179,179,0,5852,48418
180,180,0,5912,48418
181,181,0,6098,58283
182,182,0,6221,58283
183,183,0,6343,58283
184,184,0,6456,58283
185,185,0,6586,58283
186,186,0,6708,41165
187,187,0,6826,41165
188,188,0,6953,41165
189,189,0,7072,41165
190,190,0,7196,41165
191,191,0,7316,33912
192,192,0,7440,33912
193,193,0,7563,33912
194,194,0,7680,33912
195,195,0,7804,33912
196,196,0,7864,9541
197,197,0,7986,9541
198,198,0,8105,9541
199,199,0,8292,9541
200,200,0,152,9541
201,201,0,8536,43453
202,202,0,8660,43453
203,203,0,8783,43453
204,204,0,8900,43453
205,205,0,9024,43453
206,206,0,9144,52994
207,207,0,9268,52994
208,208,0,9392,52994
209,209,0,9513,52994
210,210,0,9635,52994
211,211,0,1561,30911
212,212,0,9876,30911
213,213,0,1810,30911
214,214,0,10123,30911
215,215,0,2049,30911
216,216,0,10367,18369
217,217,0,2232,18369
218,218,0,2352,18369
219,219,0,10732,18369
220,220,0,2595,18369
221,221,0,10977,49280
222,222,0,11096,49280
223,223,0,11220,49280
224,224,0,11342,49280
225,225,0,11465,49280
226,226,0,11587,2113
227,227,0,11708,2113
228,228,0,11832,2113
229,229,0,11952,2113
230,230,0,12075,2113
231,231,0,4001,51393
232,232,0,0,51393
233,233,0,121,51393
234,234,0,177,51393
235,235,0,296,51393
236,236,0,486,53506
237,237,0,608,53506
238,238,0,731,53506
239,239,0,848,53506
240,240,0,972,53506
241,241,0,1032,39363
242,242,0,1155,39363
243,243,0,1337,39363
244,244,0,1460,39363
245,245,0,1584,39363
246,246,0,1707,27333
247,247,0,1825,27333
248,248,0,1976,27333
249,249,0,2072,27333
250,250,0,2195,27333
251,251,0,2316,1160
252,252,0,2437,1160
253,253,0,2562,1160
254,254,0,2618,1160
255,255,0,2805,1160
256,256,0,2927,28493
257,257,0,3048,28493
258,258,0,3172,28493
259,259,0,3225,28493
260,260,0,3412,28493
261,261,0,3536,29653
262,262,0,3660,29653
263,263,0,3783,29653
264,264,0,3903,29653
265,265,0,4024,29653
266,266,0,4144,58146
267,267,0,4270,58146
268,268,0,4393,58146
269,269,0,4513,58146
270,270,0,4632,58146
271,271,0,4758,22263
272,272,0,4880,22263
273,273,0,5003,22263
274,274,0,5120,22263
275,275,0,5246,22263
276,276,0,5304,14873
277,277,0,5426,14873
278,278,0,5613,14873
279,279,0,5664,14873
280,280,0,5808,14873
281,281,0,5976,37136
282,282,0,6100,37136
283,283,0,6223,37136
284,284,0,6341,37136
285,285,0,6464,37136
286,286,0,6588,52009
287,287,0,6706,52009
288,288,0,6832,52009
289,289,0,6952,52009
290,290,0,7076,52009
291,291,0,7194,23609
292,292,0,7321,23609
293,293,0,7440,23609
294,294,0,7564,23609
295,295,0,7687,23609
296,296,0,7809,10082
297,297,0,7929,10082
298,298,0,8054,10082
299,299,0,8106,10082
300,300,0,41,10082
301,301,0,8419,33691
302,302,0,8472,33691
303,303,0,8600,33691
304,304,0,8785,33691
305,305,0,8907,33691
306,306,0,769,43773
307,307,0,9148,43773
308,308,0,9274,43773
309,309,0,1203,43773
310,310,0,1321,43773
311,311,0,9635,11928
312,312,0,9760,11928
313,313,0,1688,11928
314,314,0,10004,11928
315,315,0,10127,11928
316,316,0,2057,55701
317,317,0,10369,55701
318,318,0,10494,55701
319,319,0,2355,55701
320,320,0,2481,55701
321,321,0,10859,2093
322,322,0,10980,2093
323,323,0,11104,2093
324,324,0,2969,2093
325,325,0,11344,2093
326,326,0,3209,57794
327,327,0,3328,57794
328,328,0,3459,57794
329,329,0,11835,57794
330,330,0,3761,57794
331,331,0,3880,59887
332,332,0,12200,59887
333,333,0,0,59887
334,334,0,119,59887
335,335,0,176,59887
336,336,0,360,52145
337,337,0,484,52145
338,338,0,608,52145
339,339,0,665,52145
340,340,0,784,52145
341,341,0,972,46496
342,342,0,1096,46496
343,343,0,1219,46496
344,344,0,1339,46496
345,345,0,1460,46496
346,346,0,1584,33105
347,347,0,1707,33105
348,348,0,1828,33105
349,349,0,1950,33105
350,350,0,2073,33105
351,351,0,2195,14065
352,352,0,2318,14065
353,353,0,2440,14065
354,354,0,2561,14065
355,355,0,2616,14065
356,356,0,2806,47170
357,357,0,2928,47170
358,358,0,3051,47170
359,359,0,3104,47170
360,360,0,3294,47170
361,361,0,3416,61235
362,362,0,3539,61235
363,363,0,3660,61235
364,364,0,3782,61235
365,365,0,3905,61235
366,366,0,4027,42869
367,367,0,4145,42869
368,368,0,4272,42869
369,369,0,4393,42869
370,370,0,4515,42869
371,371,0,4633,38568
372,372,0,4752,38568
373,373,0,4882,38568
374,374,0,5003,38568
375,375,0,5122,38568
376,376,0,5304,15901
377,377,0,5306,15901
378,378,0,5425,15901
379,379,0,5614,15901
380,380,0,5736,15901
381,381,0,5794,54469
382,382,0,5913,54469
383,383,0,6040,54469
384,384,0,6224,54469
385,385,0,6347,54469
386,386,0,6401,4834
387,387,0,6584,4834
388,388,0,6714,4834
389,389,0,6835,4834
390,390,0,6954,4834
391,391,0,7080,59303
392,392,0,7202,59303
393,393,0,7321,59303
394,394,0,7444,59303
395,395,0,7568,59303
396,396,0,7690,64137
397,397,0,7809,64137
398,398,0,7864,64137
399,399,0,8056,64137
400,400,0,8179,64137
401,401,0,41,57904
402,402,0,160,57904
403,403,0,290,57904
404,404,0,8667,57904
405,405,0,528,57904
406,406,0,640,56505
407,407,0,778,56505
408,408,0,897,56505
409,409,0,9276,56505
410,410,0,1208,56505
411,411,0,1330,48873
412,412,0,1449,48873
413,413,0,9764,48873
414,414,0,1712,48873
415,415,0,10011,48873
416,416,0,10132,39842
417,417,0,10255,39842
418,418,0,10378,39842
419,419,0,2306,39842
420,420,0,2361,39842
421,421,0,10743,23179
422,422,0,10864,23179
423,423,0,10988,23179
424,424,0,2849,23179
425,425,0,3036,23179
426,426,0,11352,63021
427,427,0,11476,63021
428,428,0,11599,63021
429,429,0,3524,63021
430,430,0,11842,63021
431,431,0,3768,20664
432,432,0,3891,20664
433,433,0,4016,20664
434,434,0,0,20664
435,435,0,120,20664
436,436,0,179,18149
437,437,0,297,18149
438,438,0,424,18149
439,439,0,609,18149
440,440,0,729,18149
441,441,0,784,38813
442,442,0,976,38813
443,443,0,1099,38813
444,444,0,1152,38813
445,445,0,1338,38813
446,446,0,1464,56962
447,447,0,1587,56962
448,448,0,1708,56962
449,449,0,1826,56962
450,450,0,1953,56962
451,451,0,2075,30239
452,452,0,2196,30239
453,453,0,2320,30239
454,454,0,2440,30239
455,455,0,2560,30239
456,456,0,2686,21665
457,457,0,2808,21665
458,458,0,2931,21665
459,459,0,2984,21665
460,460,0,3107,21665
461,461,0,3296,51904
462,462,0,3416,51904
463,463,0,3474,51904
464,464,0,3595,51904
465,465,0,3720,51904
466,466,0,3840,8033
467,467,0,4026,8033
468,468,0,4152,8033
469,469,0,4274,8033
470,470,0,4396,8033
471,471,0,4519,59937
472,472,0,4640,59937
