Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,29373
1,1,0,0,29373
2,2,0,0,29373
3,3,0,0,29373
4,4,0,0,9496
5,5,0,0,9496
6,6,0,0,9496
7,7,0,0,9496
8,8,0,0,9496
9,9,0,0,38869
10,10,0,0,38869
11,11,0,0,38869
12,12,0,0,38869
13,13,0,0,38869
14,14,0,0,48365
15,15,0,0,48365
16,16,0,0,48365
17,17,0,0,48365
18,18,0,0,48365
19,19,0,0,21698
20,20,0,0,21698
21,21,0,0,21698
22,22,0,0,21698
23,23,0,0,21698
24,24,0,0,4527
25,25,0,0,4527
26,26,0,0,4527
27,27,0,0,4527
28,28,0,0,4527
29,29,0,0,26225
30,30,0,0,26225
31,31,0,0,26225
32,32,0,0,26225
33,33,0,0,26225
34,34,0,0,30752
35,35,0,0,30752
36,36,0,0,30752
37,37,0,0,30752
38,38,0,0,30752
39,39,0,0,56977
40,40,0,0,56977
41,41,0,0,56977
42,42,0,0,56977
43,43,0,0,56977
44,44,0,0,22193
45,45,0,0,22193
46,46,0,0,22193
47,47,0,0,22193
48,48,0,0,22193
49,49,0,0,13634
50,50,0,0,13634
51,51,0,0,13634
52,52,0,0,13634
53,53,0,0,13634
54,54,0,0,35827
55,55,0,0,35827
56,56,0,0,35827
57,57,0,0,35827
58,58,0,0,35827
59,59,0,0,49461
60,60,0,0,49461
61,61,0,0,49461
62,62,0,0,49461
63,63,0,0,49461
64,64,0,0,19752
65,65,0,0,19752
66,66,0,0,19752
67,67,0,0,19752
68,68,0,0,19752
69,69,0,0,3677
70,70,0,0,3677
71,71,0,0,3677
72,72,0,0,3677
73,73,0,0,3677
74,74,0,0,23429
75,75,0,0,23429
76,76,0,0,23429
77,77,0,0,23429
78,78,0,0,23429
79,79,0,0,27106
80,80,0,0,27106
81,81,0,0,27106
82,82,0,0,27106
83,83,0,0,27106
84,84,0,0,50535
85,85,0,0,50535
86,86,0,0,50535
87,87,0,0,50535
88,88,0,0,50535
89,89,0,0,12105
90,90,0,0,12105
91,91,0,0,12105
92,92,0,0,12105
93,93,0,0,12105
94,94,0,0,62640
95,95,0,0,62640
96,96,0,0,62640
97,97,0,0,62640
98,98,0,0,62640
99,99,0,0,9209
100,100,0,0,9209
101,101,0,0,9209
102,102,0,0,9209
103,103,0,0,9209
104,104,0,0,6313
105,105,0,0,6313
106,106,0,0,6313
107,107,0,0,6313
108,108,0,0,6313
109,109,0,0,15522
110,110,0,0,15522
111,111,0,0,15522
112,112,0,0,15522
113,113,0,0,15522
114,114,0,0,21835
115,115,0,0,21835
116,116,0,0,21835
117,117,0,0,21835
118,118,0,0,21835
119,119,0,0,37357
120,120,0,0,37357
121,121,0,0,37357
122,122,0,0,37357
123,123,0,0,37357
124,124,0,0,59192
125,125,0,0,59192
126,126,0,0,59192
127,127,0,0,59192
128,128,0,0,59192
129,129,0,0,31013
130,130,0,0,31013
131,131,0,0,31013
132,132,0,0,31013
133,133,0,0,31013
134,134,0,0,24669
135,135,0,0,24669
136,136,0,0,24669
137,137,0,0,24669
138,138,0,0,24669
139,139,0,0,55682
140,140,0,0,55682
141,141,0,0,55682
142,142,0,0,55682
143,143,0,0,55682
144,144,0,0,14815
145,145,0,0,14815
146,146,0,0,14815
147,147,0,0,14815
148,148,0,0,14815
149,149,0,0,4961
150,150,0,0,4961
151,151,0,0,4961
152,152,0,0,4961
153,153,0,0,4961
154,154,0,0,19776
155,155,0,0,19776
156,156,0,0,19776
157,157,0,0,19776
158,158,0,0,19776
159,159,0,0,24737
