Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,417,22295
1,1,0,463,35513
2,2,0,510,35513
3,3,0,556,35513
4,4,0,602,35513
5,5,0,649,35513
6,6,0,695,57808
7,7,0,742,57808
8,8,0,788,57808
9,9,0,834,57808
10,10,0,881,57808
11,11,0,927,27785
12,12,0,974,27785
13,13,0,1020,27785
14,14,0,1066,27785
15,15,0,1113,27785
16,16,0,1159,20057
17,17,0,1206,20057
18,18,0,1252,20057
19,19,0,1298,20057
20,20,0,1345,20057
21,21,0,1391,47842
22,22,0,1437,47842
23,23,0,1484,47842
24,24,0,1530,47842
25,25,0,1577,47842
26,26,0,1623,2363
27,27,0,1669,2363
28,28,0,1716,2363
29,29,0,1762,2363
30,30,0,1808,2363
31,31,0,1855,50205
32,32,0,1901,50205
33,33,0,1948,50205
34,34,0,1994,50205
35,35,0,2040,50205
36,36,0,2087,52568
37,37,0,2133,52568
38,38,0,2180,52568
39,39,0,2226,52568
40,40,0,2272,52568
41,41,0,2319,37237
42,42,0,2365,37237
43,43,0,2412,37237
44,44,0,2458,37237
45,45,0,2504,37237
46,46,0,2551,24269
47,47,0,2597,24269
48,48,0,2644,24269
49,49,0,2690,24269
50,50,0,2736,24269
51,51,0,2783,61506
52,52,0,2829,61506
53,53,0,2876,61506
54,54,0,2922,61506
55,55,0,2968,61506
56,56,0,3014,20239
57,57,0,3061,20239
58,58,0,3108,20239
59,59,0,3154,20239
60,60,0,3200,20239
61,61,0,3246,16209
62,62,0,3293,16209
63,63,0,3340,16209
64,64,0,3385,16209
65,65,0,3432,16209
66,66,0,3478,36448
67,67,0,3525,36448
68,68,0,3570,36448
69,69,0,3617,36448
70,70,0,3664,36448
71,71,0,3710,52657
72,72,0,3757,52657
73,73,0,3800,52657
74,74,0,3850,52657
75,75,0,3896,52657
76,76,0,3942,23569
