Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,3769,0
1,1,0,3816,0
2,2,0,3862,0
3,3,0,3909,0
4,4,0,3954,0
5,5,0,4002,0
6,6,0,4049,0
7,7,0,4095,0
8,8,0,4142,0
9,9,0,4188,0
10,10,0,4235,0
11,11,0,4281,0
12,12,0,4328,0
13,13,0,4374,0
14,14,0,4421,0
15,15,0,4467,0
16,16,0,4514,0
17,17,0,4560,0
18,18,0,4607,0
19,19,0,4654,0
20,20,0,0,0
21,21,0,46,0
22,22,0,92,0
23,23,0,139,0
24,24,0,185,0
25,25,0,232,0
26,26,0,278,0
27,27,0,325,0
28,28,0,371,0
29,29,0,418,0
30,30,0,465,0
31,31,0,511,0
32,32,0,558,0
33,33,0,604,0
34,34,0,651,0
35,35,0,697,0
36,36,0,744,0
37,37,0,790,0
38,38,0,837,0
39,39,0,883,0
40,40,0,930,0
41,41,0,977,0
42,42,0,1023,0
43,43,0,1070,0
44,44,0,1116,0
45,45,0,1163,0
46,46,0,1209,0
47,47,0,1256,0
48,48,0,1302,0
49,49,0,1349,0
50,50,0,1395,0
51,51,0,1442,0
52,52,0,1488,0
53,53,0,1535,0
54,54,0,1582,0
55,55,0,1628,0
56,56,0,1675,0
57,57,0,1721,0
58,58,0,1772,0
59,59,0,1814,0
60,60,0,1861,0
61,61,0,1907,0
62,62,0,1954,0
63,63,0,2000,0
64,64,0,2047,0
65,65,0,2093,0
66,66,0,2140,0
67,67,0,2186,0
68,68,0,2233,0
69,69,0,2276,0
70,70,0,2326,0
71,71,0,2373,0
72,72,0,2419,0
73,73,0,2466,0
74,74,0,2512,0
75,75,0,2559,0
76,76,0,2605,0
77,77,0,2652,0
78,78,0,2698,0
79,79,0,2745,0
80,80,0,2791,0
81,81,0,2838,0
82,82,0,2884,0
83,83,0,2931,0
84,84,0,2978,0
85,85,0,3024,0
86,86,0,3071,0
87,87,0,3117,0
88,88,0,3164,0
89,89,0,3210,0
90,90,0,3257,0
91,91,0,3303,0
92,92,0,3350,0
93,93,0,3396,0
94,94,0,3443,0
95,95,0,3490,0
96,96,0,3536,0
97,97,0,3583,0
98,98,0,3629,0
99,99,0,3676,0
100,100,0,3722,0
101,101,0,3769,0
102,102,0,3815,0
103,103,0,3862,0
104,104,0,3908,0
105,105,0,3955,0
106,106,0,4001,0
107,107,0,4048,0
108,108,0,4095,0
109,109,0,4141,0
110,110,0,4184,0
111,111,0,4234,0
112,112,0,4281,0
113,113,0,4327,0
114,114,0,4374,0
115,115,0,4420,0
116,116,0,4467,0
117,117,0,4513,0
118,118,0,4560,0
119,119,0,4607,0
120,120,0,4653,0
121,121,0,0,0
122,122,0,46,0
123,123,0,93,0
124,124,0,139,0
125,125,0,186,0
126,126,0,232,0
127,127,0,279,0
128,128,0,325,0
129,129,0,372,0
130,130,0,418,0
