Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,14265
1,1,0,0,65513
2,2,0,0,65513
3,3,0,0,65513
4,4,0,0,65513
5,5,0,0,65513
6,6,0,0,14242
7,7,0,0,14242
8,8,0,0,14242
9,9,0,0,14242
10,10,0,0,14242
11,11,0,0,14219
12,12,0,0,14219
13,13,0,0,14219
14,14,0,0,14219
15,15,0,0,14219
16,16,0,0,28461
17,17,0,0,28461
18,18,0,0,28461
19,19,0,0,28461
20,20,0,0,28461
21,21,0,0,42680
22,22,0,0,42680
23,23,0,0,42680
24,24,0,0,42680
25,25,0,0,42680
26,26,0,0,5605
27,27,0,0,5605
28,28,0,0,5605
29,29,0,0,5605
30,30,0,0,5605
31,31,0,0,48285
32,32,0,0,48285
33,33,0,0,48285
34,34,0,0,48285
35,35,0,0,48285
36,36,0,0,53890
37,37,0,0,53890
38,38,0,0,53890
39,39,0,0,53890
40,40,0,0,53890
41,41,0,0,36639
42,42,0,0,36639
43,43,0,0,36639
44,44,0,0,36639
45,45,0,0,36639
46,46,0,0,24993
47,47,0,0,24993
48,48,0,0,24993
49,49,0,0,24993
50,50,0,0,24993
51,51,0,0,61632
52,52,0,0,61632
53,53,0,0,61632
54,54,0,0,61632
55,55,0,0,61632
56,56,0,0,21089
57,57,0,0,21089
58,58,0,0,21089
59,59,0,0,21089
60,60,0,0,21089
61,61,0,0,17185
62,62,0,0,17185
63,63,0,0,17185
64,64,0,0,17185
65,65,0,0,17185
66,66,0,0,38274
67,67,0,0,38274
68,68,0,0,38274
69,69,0,0,38274
70,70,0,0,38274
71,71,0,0,55459
72,72,0,0,55459
73,73,0,0,55459
74,74,0,0,55459
75,75,0,0,55459
76,76,0,0,28197
77,77,0,0,28197
78,78,0,0,28197
79,79,0,0,28197
80,80,0,0,28197
81,81,0,0,18120
82,82,0,0,18120
83,83,0,0,18120
84,84,0,0,18120
85,85,0,0,18120
86,86,0,0,46317
87,87,0,0,46317
88,88,0,0,46317
89,89,0,0,46317
90,90,0,0,46317
91,91,0,0,64437
92,92,0,0,64437
93,93,0,0,64437
94,94,0,0,64437
95,95,0,0,64437
96,96,0,0,45218
97,97,0,0,45218
98,98,0,0,45218
99,99,0,0,45218
100,100,0,0,45218
101,101,0,0,44119
102,102,0,0,44119
103,103,0,0,44119
104,104,0,0,44119
105,105,0,0,44119
106,106,0,0,23801
107,107,0,0,23801
108,108,0,0,23801
109,109,0,0,23801
110,110,0,0,23801
111,111,0,0,2384
112,112,0,0,2384
113,113,0,0,2384
114,114,0,0,2384
115,115,0,0,2384
116,116,0,0,26185
117,117,0,0,26185
118,118,0,0,26185
119,119,0,0,26185
120,120,0,0,26185
121,121,0,0,28569
122,122,0,0,28569
123,123,0,0,28569
124,124,0,0,28569
125,125,0,0,28569
126,126,0,0,54754
127,127,0,0,54754
128,128,0,0,54754
129,129,0,0,54754
130,130,0,0,54754
131,131,0,0,17787
132,132,0,0,17787
133,133,0,0,17787
134,134,0,0,17787
135,135,0,0,17787
136,136,0,0,7005
137,137,0,0,7005
138,138,0,0,7005
139,139,0,0,7005
140,140,0,0,7005
141,141,0,0,24792
142,142,0,0,24792
143,143,0,0,24792
144,144,0,0,24792
145,145,0,0,24792
146,146,0,0,31797
147,147,0,0,31797
148,148,0,0,31797
149,149,0,0,31797
150,150,0,0,31797
151,151,0,0,56589
152,152,0,0,56589
153,153,0,0,56589
154,154,0,0,56589
155,155,0,0,56589
156,156,0,0,22850
157,157,0,0,22850
158,158,0,0,22850
159,159,0,0,22850
160,160,0,0,22850
161,161,0,0,13903
162,162,0,0,13903
163,163,0,0,13903
164,164,0,0,13903
165,165,0,0,13903
166,166,0,0,36753
167,167,0,0,36753
168,168,0,0,36753
169,169,0,0,36753
170,170,0,0,36753
171,171,0,0,50656
172,172,0,0,50656
173,173,0,0,50656
174,174,0,0,50656
175,175,0,0,50656
176,176,0,0,21873
177,177,0,0,21873
178,178,0,0,21873
179,179,0,0,21873
180,180,0,0,21873
181,181,0,0,6993
182,182,0,0,6993
183,183,0,0,6993
184,184,0,0,6993
185,185,0,0,6993
186,186,0,0,28866
187,187,0,0,28866
188,188,0,0,28866
189,189,0,0,28866
190,190,0,0,28866
191,191,0,0,35859
192,192,0,0,35859
193,193,0,0,35859
194,194,0,0,35859
195,195,0,0,35859
196,196,0,0,64725
197,197,0,0,64725
198,198,0,0,64725
199,199,0,0,64725
200,200,0,0,64725
201,201,0,0,35048
202,202,0,0,35048
203,203,0,0,35048
204,204,0,0,35048
205,205,0,0,35048
206,206,0,0,34237
207,207,0,0,34237
208,208,0,0,34237
209,209,0,0,34237
210,210,0,0,34237
211,211,0,0,3749
212,212,0,0,3749
213,213,0,0,3749
214,214,0,0,3749
215,215,0,0,3749
216,216,0,0,37986
217,217,0,0,37986
218,218,0,0,37986
219,219,0,0,37986
220,220,0,0,37986
221,221,0,0,41735
222,222,0,0,41735
223,223,0,0,41735
224,224,0,0,41735
225,225,0,0,41735
226,226,0,0,14185
227,227,0,0,14185
228,228,0,0,14185
229,229,0,0,14185
230,230,0,0,14185
231,231,0,0,55920
232,232,0,0,55920
233,233,0,0,55920
234,234,0,0,55920
235,235,0,0,55920
236,236,0,0,4569
237,237,0,0,4569
238,238,0,0,4569
239,239,0,0,4569
240,240,0,0,4569
241,241,0,0,60489
242,242,0,0,60489
243,243,0,0,60489
244,244,0,0,60489
245,245,0,0,60489
246,246,0,0,65058
247,247,0,0,65058
248,248,0,0,65058
249,249,0,0,65058
250,250,0,0,65058
251,251,0,0,60011
252,252,0,0,60011
253,253,0,0,60011
254,254,0,0,60011
255,255,0,0,60011
256,256,0,0,59533
257,257,0,0,59533
258,258,0,0,59533
259,259,0,0,59533
260,260,0,0,59533
261,261,0,0,54008
262,262,0,0,54008
263,263,0,0,54008
264,264,0,0,54008
265,265,0,0,54008
266,266,0,0,48005
267,267,0,0,48005
268,268,0,0,48005
269,269,0,0,48005
270,270,0,0,48005
271,271,0,0,36477
272,272,0,0,36477
273,273,0,0,36477
274,274,0,0,36477
275,275,0,0,36477
276,276,0,0,18946
277,277,0,0,18946
278,278,0,0,18946
279,279,0,0,18946
280,280,0,0,18946
281,281,0,0,55423
282,282,0,0,55423
283,283,0,0,55423
284,284,0,0,55423
285,285,0,0,55423
286,286,0,0,8833
287,287,0,0,8833
288,288,0,0,8833
289,289,0,0,8833
290,290,0,0,8833
291,291,0,0,64256
292,292,0,0,64256
293,293,0,0,64256
294,294,0,0,64256
295,295,0,0,64256
296,296,0,0,7553
297,297,0,0,7553
298,298,0,0,7553
299,299,0,0,7553
300,300,0,0,7553
301,301,0,0,6273
302,302,0,0,6273
303,303,0,0,6273
304,304,0,0,6273
305,305,0,0,6273
306,306,0,0,13826
307,307,0,0,13826
308,308,0,0,13826
309,309,0,0,13826
310,310,0,0,13826
311,311,0,0,20099
312,312,0,0,20099
313,313,0,0,20099
314,314,0,0,20099
315,315,0,0,20099
316,316,0,0,33925
317,317,0,0,33925
318,318,0,0,33925
319,319,0,0,33925
320,320,0,0,33925
321,321,0,0,54024
322,322,0,0,54024
323,323,0,0,54024
324,324,0,0,54024
325,325,0,0,54024
326,326,0,0,22413
327,327,0,0,22413
328,328,0,0,22413
329,329,0,0,22413
330,330,0,0,22413
331,331,0,0,10901
332,332,0,0,10901
333,333,0,0,10901
334,334,0,0,10901
335,335,0,0,10901
336,336,0,0,33314
337,337,0,0,33314
338,338,0,0,33314
339,339,0,0,33314
340,340,0,0,33314
341,341,0,0,44215
342,342,0,0,44215
343,343,0,0,44215
344,344,0,0,44215
345,345,0,0,44215
346,346,0,0,11993
347,347,0,0,11993
348,348,0,0,11993
349,349,0,0,11993
350,350,0,0,11993
351,351,0,0,56208
352,352,0,0,56208
353,353,0,0,56208
354,354,0,0,56208
355,355,0,0,56208
356,356,0,0,2665
357,357,0,0,2665
358,358,0,0,2665
359,359,0,0,2665
360,360,0,0,2665
361,361,0,0,58873
362,362,0,0,58873
363,363,0,0,58873
364,364,0,0,58873
365,365,0,0,58873
366,366,0,0,61538
367,367,0,0,61538
368,368,0,0,61538
369,369,0,0,61538
370,370,0,0,61538
371,371,0,0,54875
372,372,0,0,54875
373,373,0,0,54875
374,374,0,0,54875
375,375,0,0,54875
376,376,0,0,50877
377,377,0,0,50877
378,378,0,0,50877
379,379,0,0,50877
380,380,0,0,50877
381,381,0,0,40216
382,382,0,0,40216
383,383,0,0,40216
384,384,0,0,40216
385,385,0,0,40216
386,386,0,0,25557
387,387,0,0,25557
388,388,0,0,25557
389,389,0,0,25557
390,390,0,0,25557
391,391,0,0,237
392,392,0,0,237
393,393,0,0,237
394,394,0,0,237
395,395,0,0,237
396,396,0,0,25794
397,397,0,0,25794
398,398,0,0,25794
399,399,0,0,25794
400,400,0,0,25794
401,401,0,0,26031
402,402,0,0,26031
403,403,0,0,26031
404,404,0,0,26031
405,405,0,0,26031
406,406,0,0,51825
407,407,0,0,51825
408,408,0,0,51825
409,409,0,0,51825
410,410,0,0,51825
411,411,0,0,12320
412,412,0,0,12320
413,413,0,0,12320
414,414,0,0,12320
415,415,0,0,12320
416,416,0,0,64145
