Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,48890,27391
1,1,0,61256,27391
2,2,0,65502,34561
3,3,0,45018,34561
4,4,0,48936,34561
5,5,0,49083,34561
6,6,0,60110,34561
7,7,0,60379,61952
8,8,0,65212,61952
9,9,0,60270,61952
10,10,0,64060,61952
11,11,0,65275,61952
12,12,0,60409,30977
13,13,0,65226,30977
14,14,0,65467,30977
15,15,0,61010,30977
16,16,0,60396,30977
17,17,0,48123,27393
18,18,0,44750,27393
19,19,0,64459,27393
20,20,0,60090,27393
21,21,0,49005,27393
22,22,0,64489,58370
23,23,0,44798,58370
24,24,0,61433,58370
25,25,0,65244,58370
26,26,0,61403,58370
27,27,0,61421,20227
28,28,0,65384,20227
29,29,0,65499,20227
30,30,0,65266,20227
31,31,0,65100,20227
32,32,0,49115,13061
33,33,0,65497,13061
34,34,0,65343,13061
35,35,0,65498,13061
36,36,0,65529,13061
37,37,0,60233,33288
38,38,0,61407,33288
39,39,0,65305,33288
40,40,0,65342,33288
41,41,0,65242,33288
42,42,0,65357,46349
43,43,0,65055,46349
44,44,0,65211,46349
45,45,0,65325,46349
46,46,0,44841,46349
47,47,0,65403,14101
48,48,0,61390,14101
49,49,0,65503,14101
50,50,0,65243,14101
51,51,0,48989,14101
52,52,0,61417,60450
53,53,0,45054,60450
54,54,0,47998,60450
55,55,0,65372,60450
56,56,0,65211,60450
57,57,0,65305,9015
58,58,0,65064,9015
59,59,0,0,9015
60,60,0,2590,9015
61,61,0,2960,9015
62,62,0,3830,3929
63,63,0,2639,3929
64,64,0,3969,3929
65,65,0,7894,3929
66,66,0,32671,3929
67,67,0,60998,12944
68,68,0,61340,12944
69,69,0,61354,12944
70,70,0,64326,12944
71,71,0,43685,12944
72,72,0,47759,16873
73,73,0,48946,16873
74,74,0,65419,16873
75,75,0,60415,16873
76,76,0,64209,16873
77,77,0,64427,29817
78,78,0,43521,29817
79,79,0,47698,29817
80,80,0,64091,29817
81,81,0,47810,29817
82,82,0,64087,46690
83,83,0,65294,46690
84,84,0,65408,46690
85,85,0,65141,46690
86,86,0,43612,46690
87,87,0,60306,10971
88,88,0,59987,10971
89,89,0,60413,10971
90,90,0,61296,10971
91,91,0,61398,10971
92,92,0,60125,57661
93,93,0,64291,57661
94,94,0,65255,57661
95,95,0,60366,57661
96,96,0,61267,57661
97,97,0,61111,3096
98,98,0,61406,3096
99,99,0,61088,3096
100,100,0,61251,3096
101,101,0,44013,3096
102,102,0,65523,60757
103,103,0,65526,60757
104,104,0,64030,60757
105,105,0,65427,60757
106,106,0,65319,60757
107,107,0,65471,63853
108,108,0,65521,63853
109,109,0,60381,63853
110,110,0,60287,63853
111,111,0,65206,63853
112,112,0,61302,59074
113,113,0,44991,59074
114,114,0,60113,59074
115,115,0,60343,59074
116,116,0,47838,59074
117,117,0,47776,57391
118,118,0,64093,57391
119,119,0,47695,57391
120,120,0,60982,57391
121,121,0,60414,57391
122,122,0,44654,50929
123,123,0,43621,50929
124,124,0,65117,50929
125,125,0,65230,50929
126,126,0,64273,50929
127,127,0,64351,42784
128,128,0,65458,42784
129,129,0,44837,42784
130,130,0,47736,42784
131,131,0,44831,42784
132,132,0,48101,28177
133,133,0,65500,28177
134,134,0,65231,28177
135,135,0,65363,28177
136,136,0,45037,28177
137,137,0,44719,5425
138,138,0,60950,5425
139,139,0,61052,5425
140,140,0,60271,5425
141,141,0,64178,5425
142,142,0,64204,33602
143,143,0,65249,33602
144,144,0,65527,33602
145,145,0,43548,33602
146,146,0,47808,33602
147,147,0,61318,39027
148,148,0,61389,39027
149,149,0,65491,39027
150,150,0,61411,39027
151,151,0,61037,39027
152,152,0,64211,7093
153,153,0,60390,7093
154,154,0,65438,7093
155,155,0,60049,7093
156,156,0,61254,7093
157,157,0,49133,46120
158,158,0,44982,46120
159,159,0,64072,46120
160,160,0,0,46120
161,161,0,975,46120
162,162,0,1717,53213
163,163,0,3022,53213
164,164,0,3616,53213
165,165,0,3890,53213
166,166,0,7164,53213
167,167,0,16226,33797
168,168,0,16211,33797
169,169,0,28350,33797
170,170,0,47951,33797
171,171,0,64210,33797
172,172,0,65132,21474
173,173,0,65297,21474
174,174,0,61203,21474
175,175,0,61132,21474
176,176,0,60976,21474
177,177,0,60022,55271
178,178,0,60349,55271
179,179,0,65139,55271
180,180,0,65107,55271
181,181,0,65213,55271
182,182,0,65457,11209
183,183,0,51718,11209
184,184,0,35597,11209
185,185,0,35776,11209
186,186,0,45015,11209
187,187,0,64509,944
188,188,0,65056,944
189,189,0,44727,944
190,190,0,60302,944
191,191,0,48800,944
192,192,0,48742,12153
193,193,0,47805,12153
194,194,0,44563,12153
195,195,0,43798,12153
196,196,0,48782,12153
197,197,0,60208,13097
198,198,0,61382,13097
199,199,0,61117,13097
200,200,0,64064,13097
201,201,0,64215,13097
202,202,0,64493,25250
203,203,0,65088,25250
204,204,0,65158,25250
205,205,0,65373,25250
206,206,0,65107,25250
207,207,0,49127,38347
208,208,0,47662,38347
209,209,0,48758,38347
210,210,0,65494,38347
211,211,0,60239,38347
212,212,0,65090,63597
213,213,0,43533,63597
214,214,0,60159,63597
215,215,0,48848,63597
216,216,0,49133,63597
217,217,0,44575,36408
218,218,0,60322,36408
219,219,0,60059,36408
220,220,0,65198,36408
221,221,0,65505,36408
222,222,0,64469,34469
223,223,0,65074,34469
224,224,0,65426,34469
225,225,0,65419,34469
226,226,0,65487,34469
227,227,0,65477,5341
228,228,0,59966,5341
229,229,0,64210,5341
230,230,0,64453,5341
231,231,0,64316,5341
232,232,0,65071,39810
233,233,0,65490,39810
234,234,0,44590,39810
235,235,0,44815,39810
236,236,0,61429,39810
237,237,0,61067,45151
238,238,0,64450,45151
239,239,0,65174,45151
240,240,0,65307,45151
241,241,0,65503,45151
242,242,0,47813,19425
243,243,0,48780,19425
244,244,0,47727,19425
245,245,0,48817,19425
246,246,0,48028,19425
247,247,0,48751,64576
248,248,0,48771,64576
249,249,0,61244,64576
250,250,0,36831,64576
251,251,0,44597,64576
252,252,0,43711,18465
253,253,0,44753,18465
254,254,0,44690,18465
255,255,0,47867,18465
256,256,0,59951,18465
257,257,0,61173,17505
258,258,0,59934,17505
259,259,0,43586,17505
260,260,0,64145,17505
261,261,0,0,17505
262,262,0,522,35970
263,263,0,969,35970
264,264,0,3759,35970
265,265,0,8170,35970
266,266,0,3874,35970
267,267,0,12044,53475
268,268,0,11115,53475
269,269,0,3871,53475
270,270,0,12274,53475
271,271,0,16362,53475
272,272,0,12156,23909
273,273,0,12124,23909
274,274,0,11818,23909
275,275,0,11967,23909
276,276,0,11948,23909
277,277,0,12266,11848
278,278,0,16189,11848
279,279,0,11980,11848
280,280,0,12201,11848
281,281,0,14940,11848
282,282,0,28530,35757
283,283,0,61002,35757
284,284,0,65213,35757
285,285,0,64012,35757
286,286,0,64074,35757
287,287,0,64462,47605
288,288,0,65071,47605
289,289,0,65226,47605
290,290,0,61244,47605
291,291,0,60940,47605
292,292,0,45002,17826
293,293,0,65117,17826
294,294,0,65452,17826
295,295,0,61257,17826
296,296,0,61308,17826
297,297,0,65051,65431
298,298,0,65354,65431
299,299,0,60994,65431
300,300,0,65499,65431
301,301,0,61257,65431
302,302,0,64479,17721
303,303,0,61324,17721
304,304,0,65482,17721
305,305,0,65501,17721
306,306,0,60338,17721
307,307,0,64073,17616
308,308,0,65442,17616
309,309,0,48850,17616
310,310,0,48075,17616
311,311,0,60351,17616
312,312,0,61275,35337
313,313,0,65098,35337
314,314,0,44796,35337
315,315,0,49039,35337
316,316,0,64457,35337
317,317,0,65087,52953
318,318,0,64377,52953
319,319,0,47978,52953
320,320,0,44767,52953
321,321,0,64460,52953
322,322,0,64203,22754
323,323,0,62943,22754
324,324,0,65401,22754
325,325,0,61001,22754
326,326,0,60156,22754
327,327,0,65531,10171
328,328,0,61162,10171
329,329,0,64450,10171
330,330,0,60251,10171
331,331,0,64362,10171
332,332,0,44796,32925
333,333,0,43996,32925
334,334,0,48074,32925
335,335,0,59996,32925
336,336,0,61356,32925
337,337,0,61034,43096
338,338,0,65069,43096
339,339,0,65501,43096
340,340,0,44747,43096
341,341,0,47964,43096
342,342,0,44786,10485
343,343,0,59978,10485
344,344,0,61346,10485
345,345,0,65275,10485
346,346,0,65035,10485
347,347,0,65215,53581
348,348,0,65388,53581
349,349,0,48106,53581
350,350,0,61309,53581
351,351,0,65471,53581
352,352,0,65026,64066
353,353,0,65247,64066
354,354,0,65115,64066
355,355,0,65354,64066
356,356,0,65533,64066
357,357,0,64271,52111
358,358,0,65257,52111
359,359,0,43932,52111
360,360,0,60399,52111
361,361,0,60354,52111
362,362,0,0,50641
363,363,0,422,50641
364,364,0,1741,50641
365,365,0,3842,50641
366,366,0,7099,50641
367,367,0,11090,37216
368,368,0,11176,37216
369,369,0,12283,37216
370,370,0,32367,37216
371,371,0,16322,37216
372,372,0,60090,22321
373,373,0,65389,22321
374,374,0,65084,22321
375,375,0,65497,22321
376,376,0,65391,22321
377,377,0,65355,59537
378,378,0,45019,59537
379,379,0,47916,59537
380,380,0,65407,59537
381,381,0,61435,59537
382,382,0,44751,16322
383,383,0,64450,16322
384,384,0,43994,16322
385,385,0,49005,16322
386,386,0,64299,16322
387,387,0,44761,10323
388,388,0,60414,10323
389,389,0,65218,10323
390,390,0,45017,10323
391,391,0,44909,10323
392,392,0,61183,26645
393,393,0,61434,26645
394,394,0,65263,26645
395,395,0,60362,26645
396,396,0,64185,26645
397,397,0,65391,36968
398,398,0,44642,36968
399,399,0,49082,36968
400,400,0,44652,36968
401,401,0,61343,36968
402,402,0,49049,63613
403,403,0,49132,63613
404,404,0,49122,63613
405,405,0,45049,63613
406,406,0,47855,63613
407,407,0,43807,35045
408,408,0,44986,35045
409,409,0,49135,35045
410,410,0,49151,35045
411,411,0,48121,35045
412,412,0,49039,33122
413,413,0,60354,33122
414,414,0,65370,33122
415,415,0,64332,33122
416,416,0,43967,33122
417,417,0,61051,2631
418,418,0,61359,2631
