Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,65405,3629
1,1,0,65376,3629
2,2,0,65463,57528
3,3,0,48846,57528
4,4,0,60022,57528
5,5,0,64483,57528
6,6,0,59949,57528
7,7,0,65425,61157
8,8,0,64023,61157
9,9,0,61085,61157
10,10,0,64352,61157
11,11,0,64246,61157
12,12,0,65054,53149
13,13,0,65347,53149
14,14,0,43907,53149
15,15,0,43998,53149
16,16,0,43520,53149
17,17,0,44742,48770
18,18,0,43805,48770
19,19,0,48099,48770
20,20,0,49090,48770
21,21,0,45021,48770
22,22,0,61057,36383
23,23,0,65095,36383
24,24,0,61439,36383
25,25,0,0,36383
26,26,0,798,36383
27,27,0,2657,19617
28,28,0,3052,19617
29,29,0,7919,19617
30,30,0,7862,19617
31,31,0,7692,19617
32,32,0,7919,56000
33,33,0,11862,56000
34,34,0,15100,56000
35,35,0,15199,56000
36,36,0,14865,56000
37,37,0,12203,10081
38,38,0,12112,10081
39,39,0,16370,10081
40,40,0,15221,10081
41,41,0,31567,10081
42,42,0,28389,545
43,43,0,27598,545
44,44,0,44962,545
45,45,0,61265,545
46,46,0,61436,545
47,47,0,61314,10626
48,48,0,60035,10626
49,49,0,60989,10626
50,50,0,48722,10626
51,51,0,65366,10626
52,52,0,44750,11171
53,53,0,47731,11171
54,54,0,48087,11171
55,55,0,47853,11171
56,56,0,65169,11171
57,57,0,47715,21797
58,58,0,48975,21797
59,59,0,47811,21797
60,60,0,61302,21797
61,61,0,61437,21797
62,62,0,64065,32968
63,63,0,65518,32968
64,64,0,64238,32968
65,65,0,64481,32968
66,66,0,60151,32968
67,67,0,47725,54765
68,68,0,47894,54765
69,69,0,48024,54765
70,70,0,64462,54765
71,71,0,65187,54765
72,72,0,65350,22197
73,73,0,61375,22197
74,74,0,64310,22197
75,75,0,65095,22197
76,76,0,60062,22197
77,77,0,48707,11426
78,78,0,60968,11426
79,79,0,61134,11426
80,80,0,61363,11426
81,81,0,61366,11426
82,82,0,61278,33623
83,83,0,43574,33623
84,84,0,49016,33623
85,85,0,48958,33623
86,86,0,48064,33623
87,87,0,45014,45049
88,88,0,49135,45049
89,89,0,47617,45049
90,90,0,60070,45049
91,91,0,61103,45049
92,92,0,61008,13136
93,93,0,65323,13136
94,94,0,48798,13136
95,95,0,49123,13136
96,96,0,47879,13136
97,97,0,59951,58185
98,98,0,60305,58185
99,99,0,64248,58185
100,100,0,64111,58185
101,101,0,64160,58185
102,102,0,43606,5785
103,103,0,44015,5785
104,104,0,60230,5785
105,105,0,60327,5785
