Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,65506,0
1,1,0,61062,0
2,2,0,61133,0
3,3,0,64083,0
4,4,0,60278,0
5,5,0,65470,0
6,6,0,43633,0
7,7,0,65083,0
8,8,0,49106,0
9,9,0,60086,0
10,10,0,61085,0
11,11,0,61360,0
12,12,0,64182,0
13,13,0,49503,0
14,14,0,64501,0
15,15,0,65228,0
16,16,0,65280,0
17,17,0,45011,0
18,18,0,64397,0
19,19,0,61040,0
20,20,0,64488,0
21,21,0,60991,0
22,22,0,64055,0
23,23,0,44974,0
24,24,0,64145,0
25,25,0,64359,0
26,26,0,64462,0
27,27,0,64134,0
28,28,0,65037,0
29,29,0,65359,0
30,30,0,65158,0
31,31,0,60957,0
32,32,0,65123,0
33,33,0,65526,0
34,34,0,65502,0
35,35,0,65045,0
36,36,0,49052,0
37,37,0,61328,0
38,38,0,60275,0
39,39,0,61167,0
40,40,0,61366,0
41,41,0,61149,0
42,42,0,64383,0
43,43,0,64070,0
44,44,0,43885,0
45,45,0,61331,0
46,46,0,43718,0
47,47,0,61438,0
48,48,0,48769,0
49,49,0,44748,0
50,50,0,44960,0
51,51,0,49139,0
52,52,0,47726,0
53,53,0,47862,0
54,54,0,48887,0
55,55,0,47951,0
56,56,0,48102,0
57,57,0,43741,0
58,58,0,48723,0
59,59,0,61286,0
60,60,0,65166,0
61,61,0,59927,0
62,62,0,61195,0
63,63,0,60978,0
64,64,0,61334,0
65,65,0,65149,0
66,66,0,65360,0
67,67,0,45000,0
68,68,0,61391,0
69,69,0,61041,0
70,70,0,60300,0
71,71,0,60128,0
72,72,0,47671,0
73,73,0,47789,0
74,74,0,65120,0
75,75,0,49032,0
76,76,0,45039,0
77,77,0,64485,0
78,78,0,48652,0
79,79,0,48912,0
80,80,0,47875,0
81,81,0,48734,0
82,82,0,45014,0
83,83,0,61429,0
84,84,0,61294,0
85,85,0,64246,0
86,86,0,65245,0
87,87,0,64083,0
88,88,0,0,0
89,89,0,241,0
90,90,0,782,0
91,91,0,834,0
92,92,0,3071,0
93,93,0,4082,0
94,94,0,12170,0
95,95,0,12157,0
96,96,0,15967,0
97,97,0,11118,0
98,98,0,12106,0
99,99,0,12217,0
100,100,0,12076,0
101,101,0,12028,0
102,102,0,11131,0
103,103,0,12281,0
104,104,0,12234,0
105,105,0,12060,0
106,106,0,12187,0
107,107,0,12010,0
108,108,0,12066,0
109,109,0,16217,0
110,110,0,11883,0
111,111,0,12234,0
112,112,0,16346,0
113,113,0,15341,0
114,114,0,15979,0
115,115,0,12250,0
116,116,0,28493,0
117,117,0,12255,0
118,118,0,28446,0
119,119,0,12122,0
120,120,0,31529,0
121,121,0,12127,0
122,122,0,28498,0
123,123,0,11882,0
124,124,0,12253,0
125,125,0,12280,0
126,126,0,11852,0
127,127,0,16255,0
128,128,0,15897,0
129,129,0,12286,0
130,130,0,16204,0
131,131,0,11963,0
132,132,0,15342,0
133,133,0,12098,0
134,134,0,11069,0
135,135,0,11899,0
136,136,0,11178,0
137,137,0,12114,0
138,138,0,11951,0
139,139,0,12270,0
140,140,0,11818,0
141,141,0,16377,0
142,142,0,12111,0
143,143,0,12188,0
144,144,0,12251,0
145,145,0,11993,0
146,146,0,12072,0
147,147,0,12124,0
148,148,0,12027,0
149,149,0,12106,0
150,150,0,12034,0
151,151,0,11257,0
152,152,0,16363,0
153,153,0,16254,0
154,154,0,16185,0
155,155,0,11887,0
156,156,0,12162,0
157,157,0,16090,0
158,158,0,11225,0
159,159,0,16232,0
160,160,0,12252,0
161,161,0,12287,0
162,162,0,16138,0
163,163,0,12034,0
164,164,0,11257,0
165,165,0,12271,0
166,166,0,12074,0
167,167,0,16377,0
168,168,0,11855,0
169,169,0,11868,0
170,170,0,16155,0
171,171,0,12075,0
172,172,0,11970,0
173,173,0,14909,0
174,174,0,12155,0
175,175,0,16330,0
176,176,0,14109,0
177,177,0,11823,0
178,178,0,12270,0
179,179,0,11898,0
180,180,0,12057,0
181,181,0,12172,0
182,182,0,16156,0
183,183,0,11099,0
184,184,0,12270,0
185,185,0,12226,0
186,186,0,12255,0
187,187,0,16306,0
188,188,0,16170,0
189,189,0,0,0
190,190,0,159,0
191,191,0,2906,0
192,192,0,8041,0
193,193,0,16316,0
194,194,0,28620,0
195,195,0,32491,0
196,196,0,43934,0
197,197,0,64050,0
198,198,0,48975,0
199,199,0,60990,0
200,200,0,65211,0
201,201,0,60366,0
202,202,0,43874,0
203,203,0,48093,0
204,204,0,43995,0
205,205,0,43850,0
206,206,0,43901,0
207,207,0,48730,0
208,208,0,44780,0
209,209,0,44959,0
210,210,0,49114,0
211,211,0,44754,0
212,212,0,44991,0
213,213,0,48958,0
214,214,0,44794,0
215,215,0,44905,0
216,216,0,48863,0
217,217,0,44834,0
218,218,0,44011,0
219,219,0,44841,0
220,220,0,45010,0
221,221,0,48973,0
222,222,0,44619,0
223,223,0,59994,0
224,224,0,45010,0
225,225,0,65385,0
226,226,0,44862,0
227,227,0,44858,0
228,228,0,65417,0
229,229,0,44927,0
230,230,0,64498,0
231,231,0,44746,0
232,232,0,64381,0
233,233,0,44559,0
234,234,0,64206,0
235,235,0,44874,0
236,236,0,64409,0
237,237,0,44879,0
238,238,0,61426,0
239,239,0,44634,0
240,240,0,61305,0
241,241,0,64328,0
242,242,0,44732,0
243,243,0,61407,0
244,244,0,48875,0
245,245,0,61358,0
246,246,0,65369,0
247,247,0,44971,0
248,248,0,61390,0
249,249,0,61209,0
250,250,0,44623,0
251,251,0,61298,0
252,252,0,44922,0
253,253,0,44793,0
254,254,0,64328,0
255,255,0,44988,0
256,256,0,60319,0
257,257,0,49131,0
258,258,0,60258,0
259,259,0,48988,0
260,260,0,44779,0
261,261,0,65374,0
262,262,0,44914,0
263,263,0,44623,0
264,264,0,60258,0
265,265,0,44666,0
266,266,0,45049,0
267,267,0,59976,0
268,268,0,45020,0
269,269,0,61279,0
270,270,0,65322,0
271,271,0,44066,0
272,272,0,65433,0
273,273,0,44971,0
274,274,0,64094,0
275,275,0,44658,0
276,276,0,65455,0
277,277,0,49003,0
278,278,0,44890,0
279,279,0,65485,0
280,280,0,44639,0
281,281,0,44732,0
282,282,0,60399,0
283,283,0,44937,0
284,284,0,61218,0
285,285,0,61401,0
286,286,0,48719,0
287,287,0,61386,0
288,288,0,64409,0
289,289,0,45007,0
290,290,0,0,0
291,291,0,433,0
292,292,0,604,0
293,293,0,2941,0
294,294,0,3663,0
295,295,0,12268,0
296,296,0,16287,0
297,297,0,12281,0
298,298,0,12114,0
299,299,0,15339,0
300,300,0,12091,0
301,301,0,12026,0
302,302,0,12137,0
303,303,0,12060,0
304,304,0,11436,0
305,305,0,12107,0
306,306,0,12094,0
307,307,0,12114,0
308,308,0,14925,0
309,309,0,12106,0
310,310,0,11962,0
311,311,0,11225,0
312,312,0,16232,0
313,313,0,11804,0
314,314,0,12283,0
315,315,0,16330,0
316,316,0,11858,0
317,317,0,12207,0
318,318,0,12142,0
319,319,0,16255,0
320,320,0,15995,0
321,321,0,12274,0
322,322,0,14921,0
323,323,0,16059,0
324,324,0,12250,0
325,325,0,16169,0
326,326,0,12063,0
327,327,0,11788,0
328,328,0,12107,0
329,329,0,15963,0
330,330,0,11954,0
331,331,0,12047,0
332,332,0,11106,0
333,333,0,11803,0
334,334,0,12089,0
335,335,0,16200,0
336,336,0,12061,0
337,337,0,16378,0
338,338,0,12106,0
339,339,0,12077,0
340,340,0,16216,0
341,341,0,12140,0
342,342,0,12235,0
343,343,0,11098,0
344,344,0,12266,0
345,345,0,12031,0
346,346,0,12254,0
347,347,0,16207,0
348,348,0,11787,0
349,349,0,11842,0
350,350,0,16185,0
351,351,0,12270,0
352,352,0,15994,0
353,353,0,12249,0
354,354,0,16332,0
355,355,0,12105,0
356,356,0,12155,0
357,357,0,12122,0
358,358,0,15337,0
359,359,0,12191,0
360,360,0,12236,0
361,361,0,12107,0
362,362,0,15963,0
363,363,0,12210,0
364,364,0,16365,0
365,365,0,16235,0
366,366,0,11034,0
367,367,0,12237,0
368,368,0,16200,0
369,369,0,11964,0
370,370,0,10847,0
371,371,0,15082,0
372,372,0,12066,0
373,373,0,12235,0
374,374,0,12110,0
375,375,0,12106,0
376,376,0,12217,0
377,377,0,12268,0
378,378,0,12284,0
379,379,0,12251,0
380,380,0,12046,0
381,381,0,16226,0
382,382,0,12223,0
383,383,0,11250,0
384,384,0,12234,0
385,385,0,12073,0
386,386,0,16344,0
387,387,0,16172,0
388,388,0,12235,0
389,389,0,16346,0
390,390,0,12066,0
391,391,0,0,0
392,392,0,851,0
393,393,0,3707,0
394,394,0,4050,0
395,395,0,12237,0
396,396,0,16130,0
397,397,0,12282,0
398,398,0,12141,0
399,399,0,12136,0
400,400,0,11868,0
401,401,0,12091,0
402,402,0,15178,0
403,403,0,12226,0
404,404,0,27513,0
405,405,0,12043,0
406,406,0,11050,0
407,407,0,12146,0
408,408,0,12015,0
409,409,0,28610,0
410,410,0,16314,0
411,411,0,12249,0
412,412,0,32616,0
413,413,0,11868,0
414,414,0,27343,0
415,415,0,11881,0
416,416,0,27522,0
417,417,0,28665,0
418,418,0,11851,0
419,419,0,32766,0
420,420,0,28537,0
421,421,0,11887,0
422,422,0,28636,0
423,423,0,32731,0
424,424,0,12249,0
425,425,0,28522,0
426,426,0,32637,0
427,427,0,11899,0
428,428,0,28522,0
429,429,0,28509,0
430,430,0,12207,0
431,431,0,28654,0
432,432,0,28543,0
433,433,0,11801,0
434,434,0,28670,0
435,435,0,32585,0
436,436,0,12283,0
437,437,0,16174,0
438,438,0,12073,0
439,439,0,11871,0
440,440,0,11788,0
441,441,0,12107,0
442,442,0,12126,0
443,443,0,12146,0
444,444,0,11087,0
445,445,0,16226,0
446,446,0,12155,0
447,447,0,11897,0
448,448,0,12170,0
449,449,0,16349,0
450,450,0,12027,0
451,451,0,12234,0
452,452,0,16317,0
453,453,0,12120,0
454,454,0,11884,0
455,455,0,12239,0
456,456,0,12058,0
457,457,0,12242,0
458,458,0,12095,0
459,459,0,12158,0
460,460,0,12106,0
461,461,0,11881,0
462,462,0,16348,0
463,463,0,11833,0
464,464,0,12235,0
465,465,0,12206,0
466,466,0,12153,0
467,467,0,16239,0
468,468,0,12252,0
469,469,0,12251,0
470,470,0,12267,0
471,471,0,12098,0
472,472,0,12285,0
473,473,0,15962,0
474,474,0,11818,0
475,475,0,11085,0
476,476,0,12280,0
477,477,0,12236,0
478,478,0,12271,0
479,479,0,12154,0
480,480,0,16175,0
481,481,0,11999,0
482,482,0,16350,0
483,483,0,16111,0
484,484,0,12233,0
485,485,0,12158,0
486,486,0,16217,0
487,487,0,11883,0
488,488,0,11850,0
489,489,0,16345,0
490,490,0,16111,0
491,491,0,11836,0
492,492,0,0,0
493,493,0,507,0
494,494,0,2030,0
495,495,0,1513,0
496,496,0,3999,0
497,497,0,7122,0
498,498,0,11787,0
499,499,0,11977,0
500,500,0,12082,0
501,501,0,16173,0
502,502,0,11883,0
503,503,0,12186,0
504,504,0,12157,0
505,505,0,11080,0
506,506,0,11997,0
507,507,0,11995,0
508,508,0,12106,0
509,509,0,12157,0
510,510,0,16216,0
511,511,0,11884,0
512,512,1,28511,0
513,513,0,28634,0
514,514,0,12178,0
515,515,0,28457,0
516,516,0,11803,0
517,517,0,28494,0
518,518,0,11810,0
519,519,0,28639,0
520,520,0,16123,0
521,521,0,27530,0
522,522,0,16255,0
523,523,0,12239,0
524,524,0,27470,0
525,525,0,12042,0
526,526,0,31577,0
527,527,0,11983,0
528,528,0,28514,0
529,529,0,15994,0
530,530,0,32717,0
531,531,0,11855,0
532,532,0,11964,0
533,533,0,28463,0
534,534,0,12169,0
535,535,0,28540,0
536,536,0,11980,0
537,537,0,32587,0
538,538,0,12233,0
539,539,0,28538,0
540,540,0,11980,0
541,541,0,28543,0
542,542,0,12121,0
543,543,0,32590,0
544,544,0,11868,0
545,545,0,31707,0
546,546,0,11993,0
547,547,0,27240,0
548,548,0,12060,0
549,549,0,28671,0
550,550,0,15947,0
551,551,0,28636,0
552,552,0,16124,0
553,553,0,28651,0
554,554,0,15999,0
555,555,0,12242,0
556,556,0,27405,0
