Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,12281,0
1,1,0,11979,0
2,2,0,16254,0
3,3,0,16249,0
4,4,0,12015,0
5,5,0,12242,0
6,6,0,16347,0
7,7,0,11865,0
8,8,0,32296,0
9,9,0,27230,0
10,10,0,32591,0
11,11,0,0,0
12,12,0,497,0
13,13,0,952,0
14,14,0,4081,0
15,15,0,3791,0
16,16,0,4018,0
17,17,0,12091,0
18,18,0,12217,0
19,19,0,12168,0
20,20,0,16349,0
21,21,0,11867,0
22,22,0,12138,0
23,23,0,12093,0
24,24,0,11855,0
25,25,0,12238,0
26,26,0,12127,0
27,27,0,12153,0
28,28,0,12126,0
29,29,0,12137,0
30,30,0,11995,0
31,31,0,16334,0
32,32,0,11842,0
33,33,0,12223,0
34,34,0,12274,0
35,35,0,12042,0
36,36,0,28477,0
37,37,0,16207,0
38,38,0,28590,0
39,39,0,28511,0
40,40,0,11833,0
41,41,0,28652,0
42,42,0,12092,0
43,43,0,32763,0
44,44,0,12281,0
45,45,0,27144,0
46,46,0,12220,0
47,47,0,27631,0
48,48,0,12075,0
49,49,0,11554,0
50,50,0,28505,0
51,51,0,12139,0
52,52,0,31710,0
53,53,0,11954,0
54,54,0,28495,0
55,55,0,32618,0
56,56,0,12122,0
57,57,0,28493,0
58,58,0,11871,0
59,59,0,32734,0
60,60,0,11802,0
61,61,0,28521,0
62,62,0,15999,0
63,63,0,27458,0
64,64,0,16203,0
65,65,0,11977,0
66,66,0,11130,0
67,67,0,16364,0
68,68,0,12203,0
69,69,0,12154,0
70,70,0,12274,0
71,71,0,12127,0
72,72,0,15899,0
73,73,0,14958,0
74,74,0,12226,0
75,75,0,10847,0
76,76,0,16218,0
77,77,0,12010,0
78,78,0,11101,0
79,79,0,16127,0
80,80,0,11212,0
81,81,0,16191,0
82,82,0,12185,0
83,83,0,11212,0
84,84,0,11868,0
85,85,0,16347,0
86,86,0,16171,0
87,87,0,16360,0
88,88,0,12092,0
89,89,0,12027,0
90,90,0,11082,0
91,91,0,15954,0
92,92,0,12207,0
93,93,0,11054,0
94,94,0,12074,0
95,95,0,11033,0
96,96,0,12108,0
97,97,0,11868,0
98,98,0,12219,0
99,99,0,16366,0
100,100,0,12226,0
101,101,0,16381,0
102,102,0,15962,0
103,103,0,12266,0
104,104,0,12125,0
105,105,0,12207,0
106,106,0,16174,0
107,107,0,11898,0
108,108,0,10777,0
109,109,0,12108,0
110,110,0,12124,0
111,111,0,10971,0
112,112,0,0,0
113,113,0,475,0
114,114,0,619,0
115,115,0,610,0
116,116,0,3037,0
117,117,0,2971,0
118,118,0,8170,0
119,119,0,3746,0
120,120,0,6745,0
121,121,0,3627,0
122,122,0,7006,0
123,123,0,12210,0
124,124,0,10959,0
125,125,0,12075,0
126,126,0,15226,0
127,127,0,16205,0
128,128,0,11103,0
129,129,0,16351,0
130,130,0,11866,0
131,131,0,11241,0
132,132,0,15967,0
133,133,0,12236,0
134,134,0,12107,0
135,135,0,12169,0
136,136,0,12088,0
137,137,0,11980,0
138,138,0,16255,0
139,139,0,11993,0
140,140,0,12286,0
141,141,0,12041,0
142,142,0,12219,0
143,143,0,11246,0
144,144,0,11842,0
145,145,0,12255,0
146,146,0,12122,0
147,147,0,12202,0
148,148,0,12125,0
149,149,0,11951,0
150,150,0,11246,0
151,151,0,12074,0
152,152,0,11033,0
153,153,0,16140,0
154,154,0,12188,0
