Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,11163
1,1,0,0,11163
2,2,0,0,11163
3,3,0,0,11163
4,4,0,0,13053
5,5,0,0,13053
6,6,0,0,13053
7,7,0,0,13053
8,8,0,0,13053
9,9,0,0,24216
10,10,0,0,24216
11,11,0,0,24216
12,12,0,0,24216
13,13,0,0,24216
14,14,0,0,37269
15,15,0,0,37269
16,16,0,0,37269
17,17,0,0,37269
18,18,0,0,37269
19,19,0,0,61485
20,20,0,0,61485
21,21,0,0,61485
22,22,0,0,61485
23,23,0,0,61485
24,24,0,0,33218
25,25,0,0,33218
26,26,0,0,33218
27,27,0,0,33218
28,28,0,0,33218
29,29,0,0,29167
30,30,0,0,29167
31,31,0,0,29167
32,32,0,0,29167
33,33,0,0,29167
34,34,0,0,62385
35,35,0,0,62385
36,36,0,0,62385
37,37,0,0,62385
38,38,0,0,62385
39,39,0,0,26016
40,40,0,0,26016
41,41,0,0,26016
42,42,0,0,26016
43,43,0,0,26016
44,44,0,0,22865
45,45,0,0,22865
46,46,0,0,22865
47,47,0,0,22865
48,48,0,0,22865
49,49,0,0,48881
50,50,0,0,48881
51,51,0,0,48881
52,52,0,0,48881
53,53,0,0,48881
54,54,0,0,6210
55,55,0,0,6210
56,56,0,0,6210
57,57,0,0,6210
58,58,0,0,6210
59,59,0,0,55091
60,60,0,0,55091
61,61,0,0,55091
62,62,0,0,55091
63,63,0,0,55091
64,64,0,0,61301
65,65,0,0,61301
66,66,0,0,61301
67,67,0,0,61301
68,68,0,0,61301
69,69,0,0,50856
70,70,0,0,50856
71,71,0,0,50856
72,72,0,0,50856
73,73,0,0,50856
74,74,0,0,46621
75,75,0,0,46621
76,76,0,0,46621
77,77,0,0,46621
78,78,0,0,46621
79,79,0,0,31941
80,80,0,0,31941
81,81,0,0,31941
82,82,0,0,31941
83,83,0,0,31941
