Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,135,60312
1,1,0,162,60312
2,2,0,188,60312
3,3,0,211,60312
4,4,0,242,60949
5,5,0,270,60949
6,6,0,297,60949
7,7,0,327,60949
8,8,0,351,60949
9,9,0,377,55725
10,10,0,405,55725
11,11,0,432,55725
12,12,0,459,55725
13,13,0,486,55725
14,14,0,512,51138
15,15,0,540,51138
16,16,0,567,51138
17,17,0,593,51138
18,18,0,621,51138
19,19,0,651,41327
20,20,0,675,41327
21,21,0,702,41327
22,22,0,729,41327
23,23,0,756,41327
24,24,0,783,26929
25,25,0,810,26929
26,26,0,837,26929
27,27,0,863,26929
28,28,0,891,26929
29,29,0,917,2720
30,30,0,945,2720
31,31,0,972,2720
32,32,0,998,2720
33,33,0,1026,2720
34,34,0,1053,29649
35,35,0,1080,29649
36,36,0,1107,29649
37,37,0,1134,29649
38,38,0,1161,29649
39,39,0,1188,32369
40,40,0,1215,32369
41,41,0,1242,32369
42,42,0,1269,32369
43,43,0,1296,32369
44,44,0,1323,62018
45,45,0,1350,62018
46,46,0,1377,62018
47,47,0,1404,62018
48,48,0,1431,62018
49,49,0,1458,28851
50,50,0,1485,28851
51,51,0,1512,28851
52,52,0,1539,28851
53,53,0,1566,28851
54,54,0,1593,25333
55,55,0,1620,25333
56,56,0,1647,25333
57,57,0,1674,25333
58,58,0,1701,25333
59,59,0,1728,54184
60,60,0,1755,54184
61,61,0,1782,54184
62,62,0,1809,54184
63,63,0,1836,54184
64,64,0,1863,13981
65,65,0,1890,13981
66,66,0,1917,13981
67,67,0,1944,13981
68,68,0,1971,13981
69,69,0,1998,2629
70,70,0,2025,2629
71,71,0,2052,2629
72,72,0,2079,2629
73,73,0,2106,2629
74,74,0,2133,16610
75,75,0,2160,16610
76,76,0,2190,16610
77,77,0,2214,16610
78,78,0,2241,16610
79,79,0,2268,19239
80,80,0,2298,19239
81,81,0,2323,19239
82,82,0,2349,19239
83,83,0,2376,19239
84,84,0,2403,35849
85,85,0,2431,35849
86,86,0,2458,35849
87,87,0,2484,35849
88,88,0,2511,35849
89,89,0,2538,55088
90,90,0,2566,55088
91,91,0,2593,55088
92,92,0,2619,55088
93,93,0,2646,55088
94,94,0,2673,25401
95,95,0,2701,25401
96,96,0,0,25401
97,97,0,27,25401
98,98,0,54,25401
99,99,0,80,14953
100,100,0,108,14953
101,101,0,135,14953
