Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,164897,8584
1,1,0,117714,8584
2,2,0,119266,8584
3,3,0,120345,8584
4,4,0,122612,8584
5,5,0,124340,53197
6,6,0,125678,53197
7,7,0,96920,53197
8,8,0,129270,53197
9,9,0,130523,53197
10,10,0,132909,61781
11,11,0,136714,61781
12,12,0,135936,61781
13,13,0,165368,61781
14,14,0,143790,61781
15,15,0,0,49442
16,16,0,2288,49442
17,17,0,4237,49442
18,18,0,6008,49442
19,19,0,7397,49442
20,20,0,10175,45687
21,21,0,11732,45687
22,22,0,13480,45687
23,23,0,14986,45687
24,24,0,20839,45687
25,25,0,18559,29593
26,26,0,14692,29593
27,27,0,23460,29593
28,28,0,24734,29593
29,29,0,26222,29593
30,30,0,29540,9744
31,31,0,31461,9744
32,32,0,33554,9744
33,33,0,33427,9744
34,34,0,32542,9744
35,35,0,38941,39337
36,36,0,41318,39337
37,37,0,43113,39337
38,38,0,37471,39337
39,39,0,40067,39337
40,40,0,41614,49081
41,41,0,44725,49081
42,42,0,38113,49081
43,43,0,43721,49081
44,44,0,44239,49081
45,45,0,43768,22882
46,46,0,48188,22882
47,47,0,45434,22882
48,48,0,48583,22882
49,49,0,41161,22882
50,50,0,57142,6427
51,51,0,58187,6427
52,52,0,53041,6427
53,53,0,54990,6427
54,54,0,55736,6427
55,55,0,61807,29309
56,56,0,64249,29309
57,57,0,62591,29309
58,58,0,69969,29309
59,59,0,72051,29309
60,60,0,66135,35736
61,61,0,68335,35736
62,62,0,76549,35736
63,63,0,78776,35736
64,64,0,73750,35736
65,65,0,77330,65045
66,66,0,78546,65045
67,67,0,77762,65045
68,68,0,80509,65045
69,69,0,83405,65045
70,70,0,86518,35245
71,71,0,91658,35245
72,72,0,85469,35245
73,73,0,88117,35245
74,74,0,87620,35245
75,75,0,90003,34754
76,76,0,89244,34754
77,77,0,93393,34754
78,78,0,92583,34754
79,79,0,89899,34754
80,80,0,96044,4463
81,81,0,99047,4463
82,82,0,100476,4463
83,83,0,99952,4463
84,84,0,101730,4463
85,85,0,102959,39217
86,86,0,104510,39217
87,87,0,106129,39217
88,88,0,108244,39217
89,89,0,112003,39217
90,90,0,109038,43680
91,91,0,98760,43680
92,92,0,100588,43680
93,93,0,111373,43680
94,94,0,109996,43680
95,95,0,127290,17361
96,96,0,130371,17361
97,97,0,130409,17361
98,98,0,131296,17361
99,99,0,132936,17361
100,100,0,134175,61041
101,101,0,135495,61041
102,102,0,138109,61041
103,103,0,141081,61041
104,104,0,142883,61041
105,105,0,141607,12866
106,106,0,144807,12866
107,107,0,144908,12866
108,108,0,152303,12866
109,109,0,152827,12866
110,110,0,152034,8371
111,111,0,158209,8371
112,112,0,163917,8371
113,113,0,160594,8371
114,114,0,167033,8371
115,115,0,113951,21237
116,116,0,0,21237
117,117,0,1821,21237
118,118,0,3474,21237
119,119,0,5451,21237
120,120,0,7423,29608
121,121,0,13335,29608
122,122,0,11724,29608
123,123,0,11172,29608
124,124,0,12434,29608
125,125,0,17151,50845
126,126,0,14256,50845
127,127,0,15971,50845
128,128,0,21450,50845
129,129,0,22549,50845
130,130,0,26019,14917
131,131,0,21204,14917
132,132,0,23398,14917
133,133,0,24878,14917
134,134,0,26457,14917
135,135,0,30330,226
136,136,0,31507,226
137,137,0,32880,226
138,138,0,33711,226
139,139,0,44911,226
140,140,0,44024,15143
141,141,0,46066,15143
142,142,0,47764,15143
143,143,0,50480,15143
144,144,0,52952,15143
145,145,0,55219,15369
146,146,0,54742,15369
147,147,0,65162,15369
148,148,0,58137,15369
149,149,0,65587,15369
150,150,0,73221,30512
151,151,0,54696,30512
152,152,0,70244,30512
153,153,0,63179,30512
154,154,0,65112,30512
155,155,0,67129,45881
156,156,0,68211,45881
157,157,0,61747,45881
158,158,0,69166,45881
159,159,0,70524,45881
160,160,0,73533,10857
161,161,0,75318,10857
162,162,0,76963,10857
163,163,0,78688,10857
164,164,0,73926,10857
165,165,0,76474,56738
166,166,0,77993,56738
167,167,0,85644,56738
168,168,0,88090,56738
169,169,0,98816,56738
170,170,0,100669,2059
171,171,0,103796,2059
172,172,0,104696,2059
173,173,0,106275,2059
174,174,0,108243,2059
175,175,0,110782,58797
176,176,0,113059,58797
177,177,0,114233,58797
178,178,0,117074,58797
179,179,0,119504,58797
180,180,0,109097,60856
181,181,0,122980,60856
182,182,0,124272,60856
183,183,0,127424,60856
184,184,0,124599,60856
185,185,0,147620,54117
186,186,0,148804,54117
187,187,0,152413,54117
188,188,0,145576,54117
189,189,0,154248,54117
190,190,0,163818,49437
191,191,0,153058,49437
192,192,0,159608,49437
193,193,0,144207,49437
194,194,0,153894,49437
195,195,0,155486,38018
196,196,0,149991,38018
197,197,0,152435,38018
198,198,0,150269,38018
199,199,0,150906,38018
200,200,0,153521,21919
201,201,0,155575,21919
202,202,0,158112,21919
203,203,0,162082,21919
204,204,0,163448,21919
205,205,0,166200,59937
206,206,0,177132,59937
207,207,0,137875,59937
208,208,0,172232,59937
209,209,0,170257,59937
210,210,0,170078,16320
211,211,0,171726,16320
212,212,0,125073,16320
213,213,0,127212,16320
214,214,0,129460,16320
215,215,0,131860,10721
216,216,0,127572,10721
217,217,0,0,10721
218,218,0,1650,10721
219,219,0,3535,10721
220,220,0,4923,27041
221,221,0,7387,27041
222,222,0,9477,27041
223,223,0,9359,27041
224,224,0,10629,27041
225,225,0,12210,37762
226,226,0,13634,37762
227,227,0,15597,37762
228,228,0,16476,37762
229,229,0,21579,37762
230,230,0,23047,64803
231,231,0,21088,64803
232,232,0,26726,64803
233,233,0,30746,64803
234,234,0,42133,64803
235,235,0,37680,37029
236,236,0,36950,37029
237,237,0,41434,37029
238,238,0,34580,37029
239,239,0,36727,37029
240,240,0,37887,36296
241,241,0,41764,36296
242,242,0,41338,36296
243,243,0,42389,36296
244,244,0,49842,36296
245,245,0,50911,7789
246,246,0,52909,7789
247,247,0,56905,7789
248,248,0,59130,7789
249,249,0,59858,7789
250,250,0,63763,44085
251,251,0,65250,44085
252,252,0,64315,44085
253,253,0,71493,44085
254,254,0,81628,44085
255,255,0,75218,51874
256,256,0,91293,51874
257,257,0,76319,51874
258,258,0,74122,51874
259,259,0,66838,51874
260,260,0,70720,30423
261,261,0,73159,30423
262,262,0,76138,30423
263,263,0,77786,30423
264,264,0,81932,30423
265,265,0,81508,16761
266,266,0,82785,16761
267,267,0,87484,16761
268,268,0,83493,16761
269,269,0,92381,16761
270,270,0,79100,47184
271,271,0,94888,47184
272,272,0,97541,47184
273,273,0,98922,47184
274,274,0,94214,47184
275,275,0,102825,63945
276,276,0,97076,63945
277,277,0,99000,63945
278,278,0,117901,63945
279,279,0,120220,63945
280,280,0,118043,45593
281,281,0,124216,45593
282,282,0,125313,45593
283,283,0,128252,45593
284,284,0,127663,45593
285,285,0,131854,44002
286,286,0,130464,44002
287,287,0,124312,44002
288,288,0,132637,44002
289,289,0,140116,44002
290,290,0,142437,24059
291,291,0,138274,24059
292,292,0,140165,24059
293,293,0,141740,24059
294,294,0,136322,24059
295,295,0,131606,2525
296,296,0,142075,2525
297,297,0,136703,2525
298,298,0,148341,2525
299,299,0,149392,2525
300,300,0,150947,26584
301,301,0,144606,26584
302,302,0,145748,26584
303,303,0,147195,26584
304,304,0,150137,26584
305,305,0,152392,29109
306,306,0,100557,29109
307,307,0,104300,29109
308,308,0,105928,29109
309,309,0,106858,29109
310,310,0,108471,55693
311,311,0,106508,55693
312,312,0,113098,55693
313,313,0,115761,55693
314,314,0,111550,55693
315,315,0,119931,19266
316,316,0,115232,19266
317,317,0,115652,19266
318,318,0,0,19266
319,319,0,1487,19266
320,320,0,3797,9423
321,321,0,4186,9423
322,322,0,6863,9423
323,323,0,12702,9423
324,324,0,12864,9423
325,325,0,14755,28689
326,326,0,16704,28689
327,327,0,14618,28689
328,328,0,21257,28689
329,329,0,22201,28689
330,330,0,24494,38112
331,331,0,19262,38112
332,332,0,35501,38112
333,333,0,30756,38112
334,334,0,26471,38112
335,335,0,27679,1265
336,336,0,30264,1265
337,337,0,29645,1265
338,338,0,33190,1265
339,339,0,35494,1265
340,340,0,38480,39377
341,341,0,39417,39377
342,342,0,40759,39377
343,343,0,41985,39377
344,344,0,45216,39377
345,345,0,47763,40642
346,346,0,49548,40642
347,347,0,45936,40642
348,348,0,53482,40642
349,349,0,55805,40642
350,350,0,58285,14483
351,351,0,59311,14483
352,352,0,61264,14483
353,353,0,56786,14483
354,354,0,54460,14483
355,355,0,58506,55125
356,356,0,60492,55125
357,357,0,63347,55125
358,358,0,63316,55125
359,359,0,64801,55125
360,360,0,69143,4072
361,361,0,70287,4072
362,362,0,71063,4072
363,363,0,70587,4072
364,364,0,70517,4072
365,365,0,69831,59197
366,366,0,73367,59197
367,367,0,74732,59197
368,368,0,82223,59197
369,369,0,83599,59197
370,370,0,86473,63269
371,371,0,82234,63269
372,372,0,84294,63269
373,373,0,86065,63269
374,374,0,60828,63269
375,375,0,62307,56930
376,376,0,63754,56930
377,377,0,65604,56930
378,378,0,65335,56930
379,379,0,68822,56930
380,380,0,73365,54663
381,381,0,74490,54663
382,382,0,76113,54663
383,383,0,77496,54663
384,384,0,77618,54663
385,385,0,78773,46057
386,386,0,88226,46057
387,387,0,90542,46057
388,388,0,82917,46057
389,389,0,93225,46057
390,390,0,84125,35184
391,391,0,89884,35184
392,392,0,89881,35184
393,393,0,89726,35184
394,394,0,92700,35184
395,395,0,85558,15705
396,396,0,86547,15705
397,397,0,88902,15705
398,398,0,90558,15705
399,399,0,91869,15705
400,400,0,89134,50889
401,401,0,88722,50889
402,402,0,92416,50889
403,403,0,92771,50889
404,404,0,92676,50889
