Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,69720,26199
1,1,0,71179,26199
2,2,0,73491,26199
3,3,0,76087,48889
4,4,0,77145,48889
5,5,0,78734,48889
6,6,0,81947,48889
7,7,0,83513,48889
8,8,0,85261,9552
9,9,0,79664,9552
10,10,0,81216,9552
11,11,0,83285,9552
12,12,0,84811,9552
13,13,0,87497,58441
14,14,0,88491,58441
15,15,0,90848,58441
16,16,0,109777,58441
17,17,0,111298,58441
18,18,0,112456,2457
19,19,0,117506,2457
20,20,0,119373,2457
21,21,0,120920,2457
22,22,0,123944,2457
23,23,0,125085,60898
24,24,0,126618,60898
25,25,0,129376,60898
26,26,0,131454,60898
27,27,0,132615,60898
28,28,0,135331,63355
29,29,0,136865,63355
30,30,0,138927,63355
31,31,0,141534,63355
32,32,0,142587,63355
33,33,0,144196,58717
34,34,0,146748,58717
35,35,0,146843,58717
36,36,0,147860,58717
37,37,0,150449,58717
38,38,0,152098,56536
39,39,0,154311,56536
40,40,0,107554,56536
41,41,0,108730,56536
42,42,0,114575,56536
43,43,0,117685,49717
44,44,0,119271,49717
45,45,0,119811,49717
46,46,0,122338,49717
47,47,0,124113,49717
48,48,0,126056,40717
49,49,0,128803,40717
50,50,0,129810,40717
51,51,0,131277,40717
52,52,0,130552,40717
53,53,0,136083,24898
54,54,0,133510,24898
55,55,0,140228,24898
56,56,0,137716,24898
57,57,0,139343,24898
58,58,0,142509,79
59,59,0,143640,79
60,60,0,145417,79
61,61,0,147953,79
62,62,0,147887,79
63,63,0,149581,24977
64,64,0,0,24977
65,65,0,1523,24977
66,66,0,3143,24977
67,67,0,4737,24977
68,68,0,6325,25056
69,69,0,8557,25056
70,70,0,9967,25056
71,71,0,12865,25056
72,72,0,14598,25056
73,73,0,16329,50033
74,74,0,18065,50033
75,75,0,19491,50033
76,76,0,21167,50033
77,77,0,24388,50033
78,78,0,25805,9553
79,79,0,27631,9553
80,80,0,30192,9553
81,81,0,31770,9553
82,82,0,36178,9553
83,83,0,38175,59586
84,84,0,39915,59586
85,85,0,41470,59586
86,86,0,44640,59586
87,87,0,45147,59586
88,88,0,46750,3603
89,89,0,49232,3603
90,90,0,50878,3603
91,91,0,52954,3603
92,92,0,55615,3603
93,93,0,57043,63189
94,94,0,58606,63189
95,95,0,61205,63189
96,96,0,63099,63189
97,97,0,64673,63189
98,98,0,67312,1256
99,99,0,68981,1256
100,100,0,71232,1256
101,101,0,73207,1256
102,102,0,74856,1256
103,103,0,76408,64445
104,104,0,78908,64445
105,105,0,80639,64445
106,106,0,82383,64445
107,107,0,84991,64445
108,108,0,86532,165
109,109,0,88646,165
110,110,0,86691,165
111,111,0,88306,165
112,112,0,89746,165
113,113,0,91979,64610
114,114,0,94477,64610
115,115,0,95239,64610
116,116,0,96791,64610
117,117,0,115782,64610
118,118,0,117514,64775
119,119,0,119529,64775
120,120,0,122196,64775
121,121,0,123763,64775
122,122,0,125417,64775
123,123,0,128525,63849
124,124,0,128868,63849
125,125,0,130475,63849
126,126,0,133098,63849
127,127,0,135220,63849
128,128,0,136762,63088
129,129,0,139419,63088
130,130,0,141030,63088
131,131,0,143115,63088
132,132,0,145647,63088
133,133,0,146635,61401
134,134,0,148244,61401
135,135,0,150740,61401
136,136,0,152424,61401
137,137,0,153989,61401
138,138,0,156765,58953
139,139,0,158269,58953
140,140,0,159934,58953
141,141,0,113790,58953
142,142,0,115038,58953
143,143,0,116741,54818
144,144,0,119320,54818
145,145,0,121503,54818
146,146,0,122629,54818
147,147,0,125177,54818
148,148,0,126747,48235
149,149,0,128512,48235
150,150,0,131323,48235
151,151,0,133216,48235
152,152,0,133463,48235
153,153,0,136538,37517
154,154,0,138225,37517
155,155,0,135602,37517
156,156,0,141978,37517
157,157,0,143469,37517
158,158,0,145011,20216
159,159,0,148330,20216
160,160,0,149745,20216
161,161,0,151455,20216
162,162,0,153756,20216
163,163,0,155503,57733
164,164,0,157770,57733
165,165,0,0,57733
166,166,0,1507,57733
167,167,0,3049,57733
168,168,0,4581,12413
169,169,0,6151,12413
170,170,0,7497,12413
171,171,0,9300,12413
172,172,0,11824,12413
173,173,0,13549,4610
174,174,0,14576,4610
175,175,0,17756,4610
176,176,0,19285,4610
177,177,0,20894,4610
178,178,0,23552,17023
179,179,0,25097,17023
180,180,0,27345,17023
181,181,0,29812,17023
182,182,0,31489,17023
183,183,0,33025,21633
184,184,0,34991,21633
185,185,0,39248,21633
186,186,0,40770,21633
187,187,0,43390,21633
188,188,0,44373,38656
189,189,0,46015,38656
190,190,0,49052,38656
191,191,0,50629,38656
192,192,0,52213,38656
193,193,0,54158,60289
194,194,0,55713,60289
195,195,0,57280,60289
196,196,0,59898,60289
197,197,0,61588,60289
198,198,0,63074,33409
199,199,0,65637,33409
200,200,0,67944,33409
201,201,0,69611,33409
202,202,0,71748,33409
203,203,0,73318,28162
204,204,0,75458,28162
205,205,0,78149,28162
206,206,0,79210,28162
207,207,0,80433,28162
208,208,0,84012,61571
209,209,0,85490,61571
210,210,0,87161,61571
211,211,0,85139,61571
212,212,0,83053,61571
213,213,0,84555,24197
214,214,0,86128,24197
215,215,0,88741,24197
216,216,0,89807,24197
217,217,0,91340,24197
218,218,0,110824,20232
219,219,0,112402,20232
