Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,8895,36857
1,1,0,10469,36857
2,2,0,11474,36857
3,3,0,13145,36857
4,4,0,13067,36857
5,5,0,14014,29520
6,6,0,15571,29520
7,7,0,16888,29520
8,8,0,18500,29520
9,9,0,18888,29520
10,10,0,20324,841
11,11,0,22013,841
12,12,0,22824,841
13,13,0,23384,841
14,14,0,20072,841
15,15,0,21801,30361
16,16,0,23283,30361
17,17,0,24747,30361
18,18,0,26322,30361
19,19,0,27127,30361
20,20,0,28679,31202
21,21,0,29950,31202
22,22,0,32824,31202
23,23,0,34518,31202
24,24,0,35505,31202
25,25,0,38719,61563
26,26,0,40064,61563
27,27,0,41660,61563
28,28,0,44011,61563
29,29,0,45327,61563
30,30,0,47033,27229
31,31,0,48514,27229
32,32,0,48700,27229
33,33,0,45411,27229
34,34,0,47112,27229
35,35,0,50100,23256
36,36,0,51552,23256
37,37,0,53339,23256
38,38,0,55739,23256
39,39,0,57293,23256
40,40,0,58642,50485
41,41,0,60446,50485
42,42,0,62191,50485
43,43,0,63135,50485
44,44,0,66398,50485
45,45,0,67871,8205
46,46,0,69572,8205
47,47,0,70882,8205
48,48,0,71734,8205
49,49,0,73404,8205
50,50,0,71797,58690
51,51,0,73570,58690
52,52,0,70849,58690
53,53,0,71520,58690
54,54,0,72713,58690
55,55,0,74146,1359
56,56,0,75709,1359
57,57,0,76648,1359
58,58,0,77709,1359
59,59,0,79036,1359
60,60,0,79373,60049
61,61,0,80567,60049
62,62,0,81504,60049
63,63,0,83205,60049
64,64,0,83995,60049
65,65,0,85504,61408
66,66,0,86916,61408
67,67,0,87347,61408
68,68,0,89036,61408
69,69,0,85383,61408
70,70,0,87146,55921
71,71,0,83954,55921
72,72,0,84794,55921
73,73,0,78139,55921
74,74,0,70877,55921
75,75,0,72593,51793
76,76,0,74078,51793
77,77,0,75275,51793
78,78,0,75419,51793
79,79,0,76769,51793
80,80,0,78461,42178
81,81,0,79944,42178
82,82,0,81053,42178
83,83,0,84020,42178
84,84,0,85488,42178
85,85,0,87172,28435
86,86,0,87952,28435
87,87,0,91219,28435
88,88,0,91647,28435
89,89,0,93333,28435
90,90,0,92223,5077
91,91,0,93128,5077
92,92,0,94867,5077
93,93,0,97868,5077
94,94,0,99581,5077
95,95,0,0,33512
96,96,0,1460,33512
97,97,0,3017,33512
98,98,0,4387,33512
99,99,0,5793,33512
100,100,0,7376,38589
101,101,0,8732,38589
102,102,0,9778,38589
103,103,0,11080,38589
104,104,0,12763,38589
105,105,0,12160,6565
106,106,0,13632,6565
107,107,0,15192,6565
108,108,0,16501,6565
109,109,0,18102,6565
110,110,0,19023,45154
111,111,0,20477,45154
112,112,0,22175,45154
113,113,0,23530,45154
114,114,0,25122,45154
115,115,0,23350,51719
116,116,0,24946,51719
117,117,0,26395,51719
118,118,0,27776,51719
119,119,0,25396,51719
120,120,0,26245,31337
121,121,0,27802,31337
122,122,0,29265,31337
123,123,0,29707,31337
124,124,0,31403,31337
125,125,0,31798,17520
126,126,0,33804,17520
127,127,0,34856,17520
128,128,0,35898,17520
129,129,0,36834,17520
130,130,0,38331,48857
131,131,0,39557,48857
132,132,0,40988,48857
133,133,0,39618,48857
134,134,0,36314,48857
135,135,0,37401,841
136,136,0,38883,841
137,137,0,40365,841
138,138,0,41503,841
139,139,0,42347,841
140,140,0,43924,49698
141,141,0,44739,49698
142,142,0,45080,49698
143,143,0,46761,49698
144,144,0,47199,49698
145,145,0,48889,50539
146,146,0,50200,50539
147,147,0,51303,50539
148,148,0,52638,50539
149,149,0,53377,50539
150,150,0,55103,34701
151,151,0,55049,34701
152,152,0,56721,34701
153,153,0,53930,34701
154,154,0,54538,34701
155,155,0,55800,19704
156,156,0,57118,19704
157,157,0,59065,19704
158,158,0,59246,19704
159,159,0,60932,19704
160,160,0,62239,54405
161,161,0,62020,54405
162,162,0,63591,54405
163,163,0,64386,54405
164,164,0,66066,54405
165,165,0,67424,8573
166,166,0,68981,8573
167,167,0,70318,8573
168,168,0,71114,8573
169,169,0,72842,8573
170,170,0,75310,62978
171,171,0,78574,62978
172,172,0,75796,62978
173,173,0,76630,62978
174,174,0,71504,62978
175,175,0,72822,6015
176,176,0,74521,6015
177,177,0,75941,6015
178,178,0,77147,6015
179,179,0,77455,6015
180,180,0,78876,3457
181,181,0,80559,3457
182,182,0,81900,3457
183,183,0,83039,3457
184,184,0,84473,3457
185,185,0,85389,9472
186,186,0,91073,9472
187,187,0,96003,9472
188,188,0,101599,9472
189,189,0,99385,9472
190,190,0,101081,12929
191,191,0,98499,12929
192,192,0,98903,12929
193,193,0,100629,12929
194,194,0,101962,12929
195,195,0,103580,22401
196,196,0,0,22401
197,197,0,1448,22401
198,198,0,3136,22401
199,199,0,4629,22401
200,200,0,6051,35330
201,201,0,7628,35330
202,202,0,9087,35330
203,203,0,10510,35330
204,204,0,11590,35330
205,205,0,13283,57731
206,206,0,12676,57731
207,207,0,14142,57731
208,208,0,15694,57731
209,209,0,17001,57731
210,210,0,18067,27525
211,211,0,18978,27525
212,212,0,20456,27525
213,213,0,21668,27525
214,214,0,22949,27525
215,215,0,24517,19720
216,216,0,21226,19720
217,217,0,22419,19720
218,218,0,23931,19720
219,219,0,25388,19720
220,220,0,26443,47245
221,221,0,27391,47245
222,222,0,29091,47245
223,223,0,30398,47245
224,224,0,30221,47245
225,225,0,31870,1429
226,226,0,32804,1429
227,227,0,33999,1429
228,228,0,35309,1429
229,229,0,36858,1429
230,230,0,37631,48674
231,231,0,39073,48674
232,232,0,40801,48674
233,233,0,42214,48674
234,234,0,40701,48674
235,235,0,37434,50103
236,236,0,38991,50103
237,237,0,40435,50103
238,238,0,43424,50103
239,239,0,45118,50103
240,240,0,45938,33241
241,241,0,49156,33241
242,242,0,50651,33241
243,243,0,50948,33241
244,244,0,54194,33241
245,245,0,55154,17808
246,246,0,56871,17808
247,247,0,58249,17808
248,248,0,55862,17808
249,249,0,57163,17808
250,250,0,57985,51049
251,251,0,59693,51049
252,252,0,58070,51049
253,253,0,59743,51049
254,254,0,56963,51049
255,255,0,57268,3321
256,256,0,58955,3321
257,257,0,60419,3321
258,258,0,61840,3321
259,259,0,62419,3321
260,260,0,64013,54370
261,261,0,65400,54370
262,262,0,64791,54370
263,263,0,70487,54370
264,264,0,71391,54370
265,265,0,72569,57691
266,266,0,74011,57691
267,267,0,75703,57691
268,268,0,77085,57691
269,269,0,77407,57691
270,270,0,78939,46525
271,271,0,79363,46525
272,272,0,80906,46525
273,273,0,77586,46525
274,274,0,78411,46525
275,275,0,71741,38680
276,276,0,64372,38680
277,277,0,66092,38680
278,278,0,67469,38680
279,279,0,68675,38680
280,280,0,68465,19669
281,281,0,69767,19669
282,282,0,71334,19669
283,283,0,72117,19669
284,284,0,73276,19669
285,285,0,74646,58349
286,286,0,75946,58349
287,287,0,77104,58349
288,288,0,78592,58349
289,289,0,79789,58349
290,290,0,79702,12482
291,291,0,81414,12482
292,292,0,78616,12482
293,293,0,78911,12482
294,294,0,80631,12482
295,295,0,81992,5295
296,296,0,83666,5295
297,297,0,0,5295
298,298,0,1411,5295
299,299,0,3108,5295
300,300,0,4554,17777
301,301,0,5991,17777
302,302,0,7568,17777
303,303,0,8887,17777
304,304,0,10085,17777
305,305,0,11605,23072
306,306,0,13147,23072
307,307,0,13567,23072
