Sample in Buffer,Sample in Window,TRIGGER,count_1[19:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,53653,53077
1,1,0,54605,53077
2,2,0,56329,53077
3,3,0,57672,53077
4,4,0,56212,28525
5,5,0,54988,28525
6,6,0,55928,28525
7,7,0,57605,28525
8,8,0,60638,28525
9,9,0,62167,16066
10,10,0,63636,16066
11,11,0,66185,16066
12,12,0,67719,16066
13,13,0,68169,16066
14,14,0,71420,44591
15,15,0,72348,44591
16,16,0,78075,44591
17,17,0,85008,44591
18,18,0,90447,44591
19,19,0,96243,60657
20,20,0,98714,60657
21,21,0,100440,60657
22,22,0,98667,60657
23,23,0,100258,60657
24,24,0,97453,39712
25,25,0,98379,39712
26,26,0,91913,39712
27,27,0,93310,39712
28,28,0,94910,39712
29,29,0,96289,34833
30,30,0,96712,34833
31,31,0,98384,34833
32,32,0,98682,34833
33,33,0,99844,34833
34,34,0,101296,9009
35,35,0,102514,9009
36,36,0,103460,9009
37,37,0,104877,9009
38,38,0,106568,9009
39,39,0,108062,43842
40,40,0,109285,43842
41,41,0,105474,43842
42,42,0,106794,43842
43,43,0,104431,43842
44,44,0,105838,52851
45,45,0,107052,52851
46,46,0,104434,52851
47,47,0,106092,52851
48,48,0,0,52851
49,49,0,1443,31157
50,50,0,3162,31157
51,51,0,4617,31157
52,52,0,6039,31157
53,53,0,7641,31157
54,54,0,9059,18472
55,55,0,10032,18472
56,56,0,11550,18472
57,57,0,13203,18472
58,58,0,13126,18472
59,59,0,14466,49629
60,60,0,16166,49629
61,61,0,17636,49629
62,62,0,19224,49629
63,63,0,20146,49629
64,64,0,23183,2565
65,65,0,24679,2565
66,66,0,26177,2565
67,67,0,22746,2565
68,68,0,19432,2565
69,69,0,21190,52194
70,70,0,22614,52194
71,71,0,24067,52194
72,72,0,25634,52194
73,73,0,26614,52194
74,74,0,28330,54759
75,75,0,29826,54759
76,76,0,31280,54759
77,77,0,32004,54759
78,78,0,34364,54759
79,79,0,35956,41417
80,80,0,37304,41417
81,81,0,40547,41417
82,82,0,41526,41417
83,83,0,42943,41417
84,84,0,46212,30640
85,85,0,47642,30640
86,86,0,44223,30640
87,87,0,36789,30640
88,88,0,38221,30640
89,89,0,39940,6521
90,90,0,41413,6521
91,91,0,43094,6521
92,92,0,44029,6521
93,93,0,45099,6521
94,94,0,46578,37161
95,95,0,46996,37161
96,96,0,48689,37161
97,97,0,49517,37161
98,98,0,51184,37161
99,99,0,52430,43682
100,100,0,53897,43682
101,101,0,55614,43682
102,102,0,56541,43682
103,103,0,59778,43682
104,104,0,61252,15307
105,105,0,61765,15307
106,106,0,55096,15307
107,107,0,55980,15307
108,108,0,57719,15307
109,109,0,59173,58989
110,110,0,60879,58989
111,111,0,62315,58989
112,112,0,63239,58989
113,113,0,64970,58989
114,114,0,65397,8760
115,115,0,67136,8760
116,116,0,67957,8760
117,117,0,69517,8760
118,118,0,72388,8760
119,119,0,73792,2213
120,120,0,75358,2213
121,121,0,77854,2213
122,122,0,79567,2213
123,123,0,76981,2213
124,124,0,78424,10973
125,125,0,76099,10973
126,126,0,77022,10973
127,127,0,70800,10973
128,128,0,72015,10973
129,129,0,73074,13186
130,130,0,74409,13186
131,131,0,75223,13186
132,132,0,76786,13186
133,133,0,76695,13186
134,134,0,78423,24159
135,135,0,79862,24159
136,136,0,80182,24159
137,137,0,81897,24159
138,138,0,83288,24159
139,139,0,85140,37345
140,140,0,86700,37345
