Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,6850,0
1,1,0,6927,0
2,2,0,7004,0
3,3,0,7081,0
4,4,0,7158,0
5,5,0,7235,0
6,6,0,7312,0
7,7,0,7389,0
8,8,0,7466,0
9,9,0,7543,0
10,10,0,7620,0
11,11,0,7697,0
12,12,0,0,0
13,13,0,76,0
14,14,0,153,0
15,15,0,230,0
16,16,0,307,0
17,17,0,448,0
18,18,0,461,0
19,19,0,538,0
20,20,0,615,0
21,21,0,692,0
22,22,0,769,0
23,23,0,846,0
24,24,0,923,0
25,25,0,1000,0
26,26,0,1077,0
27,27,0,1154,0
28,28,0,1231,0
29,29,0,1308,0
30,30,0,1385,0
31,31,0,1462,0
32,32,0,1539,0
33,33,0,1616,0
34,34,0,1693,0
35,35,0,1770,0
36,36,0,1847,0
37,37,0,1924,0
38,38,0,2001,0
39,39,0,2078,0
40,40,0,2155,0
41,41,0,2236,0
42,42,0,2309,0
43,43,0,2386,0
44,44,0,2463,0
45,45,0,2540,0
46,46,0,2617,0
47,47,0,2694,0
48,48,0,2771,0
49,49,0,2848,0
50,50,0,2925,0
51,51,0,3002,0
52,52,0,3079,0
53,53,0,3156,0
54,54,0,3233,0
55,55,0,3310,0
56,56,0,3387,0
57,57,0,3464,0
58,58,0,3541,0
59,59,0,3618,0
60,60,0,3695,0
61,61,0,3772,0
62,62,0,3849,0
63,63,0,3926,0
64,64,0,4003,0
65,65,0,4080,0
66,66,0,4157,0
67,67,0,4234,0
68,68,0,4311,0
69,69,0,4388,0
70,70,0,4465,0
71,71,0,4542,0
72,72,0,4619,0
73,73,0,4696,0
74,74,0,4773,0
75,75,0,4850,0
76,76,0,4927,0
77,77,0,5004,0
78,78,0,5081,0
79,79,0,5158,0
80,80,0,5235,0
81,81,0,5313,0
82,82,0,5390,0
83,83,0,5467,0
84,84,0,5544,0
85,85,0,5621,0
86,86,0,5698,0
87,87,0,5775,0
88,88,0,5852,0
89,89,0,5929,0
90,90,0,6006,0
91,91,0,6083,0
92,92,0,6160,0
93,93,0,6237,0
94,94,0,6314,0
95,95,0,6391,0
96,96,0,6468,0
97,97,0,6545,0
98,98,0,6622,0
99,99,0,6699,0
100,100,0,6776,0
101,101,0,6853,0
102,102,0,6930,0
103,103,0,7028,0
104,104,0,7085,0
105,105,0,7162,0
106,106,0,7239,0
107,107,0,7316,0
108,108,0,7393,0
109,109,0,7470,0
110,110,0,7547,0
111,111,0,7624,0
112,112,0,7701,0
113,113,0,0,0
114,114,0,76,0
115,115,0,153,0
116,116,0,230,0
117,117,0,307,0
118,118,0,384,0
119,119,0,461,0
120,120,0,539,0
121,121,0,616,0
122,122,0,693,0
123,123,0,770,0
124,124,0,847,0
125,125,0,924,0
126,126,0,1001,0
127,127,0,1078,0
128,128,0,1155,0
129,129,0,1232,0
130,130,0,1309,0
131,131,0,1386,0
132,132,0,1463,0
133,133,0,1540,0
134,134,0,1617,0
135,135,0,1694,0
136,136,0,1771,0
137,137,0,1848,0
138,138,0,1926,0
139,139,0,2003,0
140,140,0,2080,0
141,141,0,2157,0
142,142,0,2234,0
143,143,0,2311,0
144,144,0,2388,0
145,145,0,2465,0
146,146,0,2542,0
147,147,0,2619,0
148,148,0,2696,0
149,149,0,2773,0
150,150,0,2851,0
151,151,0,2928,0
152,152,0,3005,0
153,153,0,3082,0
154,154,0,3159,0
