Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,48713,0
1,1,0,44863,0
2,2,0,47948,0
3,3,0,49023,0
4,4,0,48665,0
5,5,0,48908,0
6,6,0,49052,0
7,7,0,48923,0
8,8,0,48729,0
9,9,0,44904,0
10,10,0,49054,0
11,11,0,44879,0
12,12,0,49097,0
13,13,0,48831,0
14,14,0,64306,0
15,15,0,44874,0
16,16,0,44797,0
17,17,0,44751,0
18,18,0,48910,0
19,19,0,48906,0
20,20,0,49049,0
21,21,0,48911,0
22,22,0,48946,0
23,23,0,0,0
24,24,0,1019,0
25,25,0,3018,0
26,26,0,10946,0
27,27,0,11961,0
28,28,0,12107,0
29,29,0,27646,0
30,30,0,48082,0
31,31,0,44749,0
32,32,0,45003,0
33,33,0,48090,0
34,34,0,49106,0
35,35,0,43647,0
36,36,0,47998,0
37,37,0,44922,0
38,38,0,44873,0
39,39,0,44735,0
40,40,0,49074,0
41,41,0,44810,0
42,42,0,43817,0
43,43,0,44888,0
44,44,0,44780,0
45,45,0,43871,0
46,46,0,44985,0
47,47,0,43934,0
48,48,0,48956,0
49,49,0,44955,0
50,50,0,47950,0
51,51,0,44834,0
52,52,0,48093,0
53,53,0,45019,0
54,54,0,44970,0
55,55,0,48754,0
56,56,0,60185,0
57,57,0,44843,0
58,58,0,65374,0
59,59,0,44594,0
60,60,0,61421,0
61,61,0,61227,0
62,62,0,44889,0
63,63,0,61390,0
64,64,0,44876,0
65,65,0,61403,0
66,66,0,44587,0
67,67,0,61186,0
68,68,0,44924,0
69,69,0,60283,0
70,70,0,48715,0
71,71,0,60238,0
72,72,0,44908,0
73,73,0,60395,0
74,74,0,44841,0
75,75,0,65368,0
76,76,0,43628,0
77,77,0,61279,0
78,78,0,60345,0
79,79,0,45039,0
80,80,0,61372,0
81,81,0,61307,0
82,82,0,44665,0
83,83,0,65288,0
84,84,0,45052,0
85,85,0,48943,0
