Sample in Buffer,Sample in Window,TRIGGER,freq_1[15:0],debug_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,4139,47427
1,1,0,4215,47427
2,2,0,4292,47427
3,3,0,4369,7237
4,4,0,4446,7237
5,5,0,4522,7237
6,6,0,4599,7237
7,7,0,4675,7237
8,8,0,4752,54664
9,9,0,4829,54664
10,10,0,4906,54664
11,11,0,4982,54664
12,12,0,5059,54664
13,13,0,5135,61901
14,14,0,5212,61901
15,15,0,5289,61901
16,16,0,5365,61901
17,17,0,5442,61901
18,18,0,5519,51029
19,19,0,5596,51029
20,20,0,5673,51029
21,21,0,5749,51029
22,22,0,5827,51029
23,23,0,5902,47394
24,24,0,5979,47394
25,25,0,6056,47394
26,26,0,6132,47394
27,27,0,6209,47394
28,28,0,6285,32887
29,29,0,6362,32887
30,30,0,6439,32887
31,31,0,6515,32887
32,32,0,6592,32887
33,33,0,6668,14745
34,34,0,6745,14745
35,35,0,6822,14745
36,36,0,6898,14745
37,37,0,6975,14745
38,38,0,7052,47632
39,39,0,7129,47632
40,40,0,7206,47632
41,41,0,7282,47632
42,42,0,7359,47632
43,43,0,7435,62377
44,44,0,7512,62377
45,45,0,7589,62377
46,46,0,7665,62377
47,47,0,0,62377
48,48,0,76,44473
49,49,0,153,44473
50,50,0,230,44473
51,51,0,306,44473
52,52,0,383,44473
53,53,0,460,41314
54,54,0,537,41314
55,55,0,614,41314
56,56,0,689,41314
57,57,0,766,41314
58,58,0,843,20251
59,59,0,920,20251
60,60,0,997,20251
61,61,0,1073,20251
62,62,0,1150,20251
63,63,0,1226,61565
64,64,0,1303,61565
65,65,0,1380,61565
66,66,0,1456,61565
67,67,0,1533,61565
68,68,0,1609,16280
69,69,0,1686,16280
70,70,0,1763,16280
71,71,0,1839,16280
72,72,0,1916,16280
73,73,0,1993,12309
74,74,0,2070,12309
75,75,0,2146,12309
76,76,0,2223,12309
77,77,0,2299,12309
78,78,0,2376,28589
79,79,0,2453,28589
80,80,0,2530,28589
81,81,0,2606,28589
